content,category
"5﹜Results and DiscussionSchiff-base condensation generally has great compatibility with different solvents, and different solvents have large influences on the final molecular crystallization and solid-state crystal packing33,34. Acetonitrile/chloroform (v/v = 5:1) was adopted as a mixed-solvent in the synthesis of previous [2 + 3] phosphate cage just because of its suitability to grow single crystals. Actually, both acetonitrile and chloroform were effective solvents to yield the [2 + 3] cage. However, in the following self-assembly reaction between two tritopic precursors [phosphate trial-dehyde and tris(2-aminoethyl)amine], it is found that the type of reaction solvents could dramatically impact the self-assembled outcomes (Fig.? 1). In our experiments, acetonitrile as a single solvent for equimolar self-assembly is firstly tried since two tritopic precursors with a 1:1 molar ratio could theoretically form a [4 + 4] molecular cage. Nevertheless, the ESI-MS spectrum does not give the expected [4 + 4] assembled results, in which two 1State Key Laboratory of Coordination Chemistry, School of Chemistry and Chemical Engineering, Nanjing University, Nanjing, Jiangsu Province, 210093, P .R. China. 2Shenzhen Research Institute of Nanjing University, Shenzhen, Guangdong Province, 518057, P .R. China. *email: whuang@nju.edu.cnopen2 Scientific  RepoRtS  |         (2020) 10:4712  | https://doi.org/10.1038/s41598-020-61813-6www.nature.com/scientificreports www.nature.com/scientificreports/positive peaks at m/z = 1415.67 and 708.58 are present corresponding to the full and half peaks of a [2 + 3] molec-ular cage with three unreacted aldehyde groups (Fig.? 2a). Furthermore, the 1H NMR spectrum of this species evi-dences the existence of the aldehyde group (Fig.?S1). The combination of ESI-MS and 1H NMR analyses suggests that one aldehyde group from every phosphate trialdehyde precursor is not involved in the cage construction Figure 1. Different OMCs based on the phosphate trialdehyde.",affiliation
"1﹜(44) Huisgen, R.; Szeimies, G.; Mo ?bius, L. 1.3-Dipolare Cyclo-additionen, XXXII. Kinetik der Additionen Organischer Azide an CC-Mehrfachbindungen. Chem. Ber. 1967 ,100, 2494?2507.Organic Letters pubs.acs.org/OrgLett Letterhttps://dx.doi.org/10.1021/acs.orglett.0c01722Org. Lett. XXXX, XXX, XXX ?XXXEElectronic Supplementary Information  Solvent -controlled  self-assembly of tetrapodal  [4+4] phosphate organic molecular cage   Gen-Feng Feng,a Jiao Geng ,a Fan-Da Fenga and Wei Huang*,a,b  a State Key Laboratory of Coordination Chemistry, School of Chemistry a nd Chemical Engineering,  Nanjing University, Nanjing, Jiangsu  Province , 210093 , P. R. Chin a b Shenzhen Research Institute of Nanjing University,  Shenzhen, Gu angdong Province , 518057 , P. R. China  *corresponding  author:  whuang@nju.edu.cn    S1. General  All chemicals were purchased from commercial corporations and used without further purification unless otherwise noted.  NMR spectra spectroscopic measurements were performed on Bruker 400 NMR spectrometer with tetramethylsi lane (TMS) as the internal standard at room temperature . Mass spectrometric data were determined with a ThermoFisher Scientific LCQ Fleet mass spectrometer  (ESI-MS) and a Bruker Autoflex II MALDI -TOF mass spectrometer  (MALDI -TOF-MS). Infrared spectra (4000 -400 cm每1) were collected on a Nicolet FT -IR 170X spectrophotometer at 25  ～C using KBr plates.  Thermal analyses were performed on a Universal V3.9A TA Instruments from room  temperature to 600  ～C with a heating rate of 10  ～C/min under flowing nitrogen. In the gas sorption measurement, ultra -high-purity grade CH 4 (> 99.999 %) and CO 2 gases (99.995 % purity) were used throughout the adsorption experiments. Low -pressure CH 4 and CO 2 adsorption measurements (up to 1 bar) were performed on Micromeritics ASAP 2020 M+C surface area analyzer.",affiliation
"2﹜ S2. Synthesis of [4+4] cage   Tris(4 -formylphenyl) phosphate was prepared as previously reported .1 Twelve -fold cycloimination reaction involving tris(4 -formylphenyl) phosphate and tris[2 -(dimethyl amino)ethyl]amine could yield [4+4] cage. Tris(4 -formylphenyl) phosphate ( 50.0 mg, 0.12 mmol) was dissolve d in 30 mL chloroform at room temperature, and then  tris[2 -(dimethylamino)ethyl]amine  (17.8 mg, 0.12 mmol) was added.  The solution was stirred for 48 h at room temperature . After that,  the mixture was filtered to a beaker  and n-hexane was layered. The cage product (4 1.0 mg) was obtained as colorless crystals by slow evaporation in air at room temperature with a yield of 68  %. S3. Solvent control experim ent Acetonitrile, the mixture of acetonitrile and chloroform (v/v = 1:1), and pure chloroform  was applied to the self -assembly process using the above mentioned procedure. ESI -MS was used to monitor  the cycloimination reaction.",comprehensive synthesis
"11﹜Given that gas sorption phenomena have been revealed on discrete organic molecular solids, gas adsorption properties of this [4 + 4] cage were explored. After thermal activation for 12 h at 80 ～C under the high vacuum, the crystalline sample has lost its crystallinity/solvents and became amorphous (Figs.?S5 and S6). The N2 adsorption isotherms of the cage at 77 K indicate a low BET surface area (less than 10 m2/g), which is similar to other discrete cage compounds38每41. Gas adsorption experiments at 273 and 298 K reveal that the cage has selective adsorption of CO2 over CH4. As illustrated in Fig.? 4, it can absorb 12.46 and 5.71 cm3 g?1 of CO2 at 273 and 298 K and 1.0 bar, whereas small amounts of CH4 uptake can be observed at 1 bar (2.36 and 0.68 cm3 g?1 at 273 and 298 K). The selectivities of CO2 over CH4 estimated from Henry＊s constants are 7.10 and 6.52 at 298 and 273  K (Table?S2), respectively, which are comparable with other previously reported OMCs (For CO2 vs CH4 adsorption and sepa -ration of some selected OMCs, see Table?S3). The reason for the high selectivities of CO2 over CH4 is probably due to the presence of polar functional P=O groups for CO2 adsorption12,42,43.",surface area
"9﹜Author contributionsGen-Feng Feng synthesized the complexes, performed the characterization and wrote the first draft of the manuscript. Jiao Geng and Fen-Da Feng analyzed the results. Wei Huang designed the experiments and corrected the manuscript. All authors reviewed the manuscript.",this paper's author
"1﹜Two flexible subcomponents, namely tris(4-formylphenyl)phosphate and tris(2-aminoethyl)amine, are assembled into a tetrapodal [4 + 4] cage depending on the solvent effect. Single-crystal structure analysis reveals that the caivity is surrounded by four phosphate uints. Good selectivity of CO2 adsorption over cH4 is demonstrated by the gas adsorption experiment.",topology
"4﹜A semi-flexible phosphate based trialdehyde had been proved to be a practicable precursor containing P= O functional site and a functionalized [2 + 3] imine OMC was successfully obtained by our group32. As a part of our ongoing research on OMCs, we aim to further investigate and demonstrate that the semi-flexible precursor could also satisfy the requirements of different geometrical organic cage assembly. So we have changed the amine component from previous ditopic linker (cyclohexanediamine) to a flexible tritopic linker [tris(2-aminoethyl)amine]. For multi-component systems comprising competitive reactions, increasing the number of reactive end-ing groups and the flexibility of the amine linker is bound to complicate the self-assembly process. To address this challenge, a solvent-controlled method was tried and applied to simplify the self-assembly process towards the desired OMC in this paper.",topology
"6﹜Figure 2. Solvent Effects on the cage assembly. (a) EIS-MS in acetonitrile; (b) EIS-MS in mixture of acetonitrile and chloroform; (c) EIS-MS in chloroform; (d) MALDI-TOF-MS in chloroform.3 Scientific  RepoRtS  |         (2020) 10:4712  | https://doi.org/10.1038/s41598-020-61813-6www.nature.com/scientificreports www.nature.com/scientificreports/and six-fold imine condensation produces a credible [2 + 3] cage structure. This half-way self-assembly could be ascribed to the poor solubility for the [2 + 3] cage product in acetonitrile, which tends to precipitate from the reaction solution and terminate the further imine condensation.",topology
"7﹜Considering that chlorohydrocarbon solvents are often used in the cage syntheses11,16,21每23,35,36, a mixture of 1:1 acetonitrile and chloroform is then used for this reaction. Although the formation of partial [2 + 3] cage still occurs, the successful assembly of a [4 + 4] molecular age is achieved which can be verified by the presence of new ESI-MS peaks at m/z = 1006.17, 671.25 and 503.67 with the isotopic distribution patterns separated by 0.50 ㊣ 0.01, 0.33 ㊣  0.01 and 0.25 ㊣ 0.01 Da (Figs.? 2b and S2), corresponding to 1/2, 1/3 and 1/4 of the molecular weight of the [4  + 4] cage. In order to improve the yield of [4  + 4] cage, pure chloroform is explored, where the ESI-MS spectrum clearly exhibits three positive peaks originating from the [4 + 4] cage excluding the peaks of half-way [2  + 3] cage (Fig.? 2c). The formation of [4  + 4] cage was further confirmed by a peak at m/z  = 2012.64 in the MALDI-TOF-MS spectrum (Fig.? 2d). In addition, 1H NMR spectrum provides reliable proofs for the forma-tion of this [4 + 4] cage, where only one set of signals could be observed for this symmetrical structure (Fig.?S3).",topology
8﹜The molecular structure of [4 + 4] cage was further verified by single-crystal X-ray diffraction studies. Slow evaporation of the reaction solution affords the suitable single crystals for the X-ray diffraction determination.,topology
