content,category
"1State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, ChineseAcademy of Sciences, Fuzhou 350002,2College of Chemistry, Fuzhou University, Fuzhou 350116,3Chemical Re ?ningLaboratory, Re ?ning Department Egyptian Petroleum Research Institute, Nasr City, Cairo 11727,4University of theChinese Academy of Sciences, Beijing 100049,5Fujian Science and Technology Innovation Laboratory for Optoelec-tronic Information of China, Fuzhou 350108*Corresponding authors: skz@fjirsm.ac.cn ;ydq@fjirsm.ac.cnCite this: CCS Chem .2024 , Just Published. DOI: 10.31635/ccschem.024.202303625The exploration of ethane (C 2H6)-selective porousmaterials for the direct production of polymer-gradeethylene (C 2H4) from a C 2H6/C2H4mixture in a singleenergy-saving adsorption step is of utmost impor-tance but remains a signi ?cant challenge. Thus, de-veloping robust C 2H6-selective adsorbents with highC2H6capacity and C 2H6/C2H4selectivity is urgentlyneeded for industrial applications. In this study, wehave successfully designed and synthesized two nov-el calix[4]resorcinarene-based porous organic cages(POCs) named CPOC-501 and CPOC-502. The POCswere formed via a Schiff-base reaction involvingface-directed [6+8] condensation between a bowl-shaped tetratopic tetraformylcalix[4]resorcinareneand triangular tritopic amine synthons. Analysisusing single crystal X-ray crystallography revealedthat both cages possess large truncated octahedralcavities with a volume of approximately 6500 ?3and12 accessible rhombic windows with a side length ofapproximately 10.5 ?. Furthermore, the cages exhib-ited excellent chemical stability under neutral, acidic,and basic conditions and high Brunauer 每Emmett 每Teller speci ?c surface areas of up to 2175 m2g?1afterdesolvation. Both POCs demonstrated superioradsorption capabilities for C 2H6over C 2H4. Notably,CPOC-502 exhibited a C 2H6capacity and C 2H6/C2H4selectivity of 83 cm3g?1and 2.83, respectively,surpassing most of the best-performing C 2H6-selec-tive porous organic materials reported to date.",affiliation
"1 State Key Laboratory of Structural Chemistry , Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences, Fuzhou, 350002  2 College of Chemistry, Fuzhou University, Fuzhou, 350116  3 University of the Chinese Academy of Sciences , Beijing, 100049  4 Fujian Science and Technology Innovation Laboratory for Optoelectronic Information of China,  Fuzhou, 350108  5 Chemical Refining Laboratory, Refining Department Egyptian Petroleum Research Institute Nasr City, Cairo  *Corresponding Author(s): skz@fjirsm.ac.cn.; ydq@fjirsm.ac.cn   S2  Table of Contents  Section S1. General Materials and Measurements                                                              S3-S5 Section S2. Synthetic Procedures and Characterizations                                                    S6-S11 Section S3. X -ray Data Collection and Structure Determination                                            S12 Section S4. Additional Figures                                                                                          S13-S14 Section S5. Gas Adsorption  and Separation  Measurements                                             S15-S20 Section S6. Reference                                                                                                               S21    S3  Section S1. General Materials and Measurements  All reagents and solvents used in synthetic studies were commercially available and used as supplied without further purification, while the ligand CR4ACHO (tetraformylcalix[4]resorcinarene ) was synthesized by a literature procedure.S1 Elemental analyses for C, H, and N were carried out on a German Elementary Vario EL III instrument. FT-IR spectra were recorded in 4000?400 cm?1 with a Magna 750 FT -IR spectrometer using KBr pellets. 1H NMR spectra were obtained on a Burker AVANCE 400 (400 MHz) spectrometer. Thermal gravimetric analysis (TGA) was carried out under a dynamic N 2 flow on a NETZSCH STA 449C thermal unit at a heating rate of 10 ～ C. min-1 under N2 atmosphere  by heating samples from 30 to 800 ～ C. The pow der X-ray diffraction (PXRD) patterns were collected by a Rigaku Mini 600 X -ray diffractometer using Cu K汐 radiation ( 竹 = 1.54 ?). Simulation of the PXRD spectrum patterns  is carried out by the single -crystal data and diffraction -crystal module of the Mercury program available free of charge via Internet at http://www.ccdc.cam.ac.uk/products/mercury/ .",affiliation
"Results and DiscussionRed block crystals of CPOC-501 and CPOC-502 wereobtained in yields of 71% and 65%, respectively, using a24-fold Schiff base reaction of C4RACHO (1 equiv)with (TAPB, 1.33 equiv) and (TAPT, 1.33 equiv). Subse-quent single crystallographic X-ray determination(SCXRD) revealed that CPOC-501 (CCDC No. 2222407,Figure 1a) crystallized in a triclinic P-1 space group withhalf of a [6+8] organic cage in its asymmetric unit. Incontrast, CPOC-502 (CCDC No. 2222408, Figure 1b)crystallized in a trigonal R-3 space group with one-sixthof the cage ( Supporting Information Table S1 ). The asym-metric units of both cages incorporated residual electrondensity as highly disordered solvent molecules, whichaccounted for approximately 67.8% of the unit cell vol-ume and were subsequently removed by the routineFigure 1 | X-ray single-crystal structures of (a) CPOC-501and (b) CPOC-502 ; solid-state packing of (c) CPOC-501and (d) CPOC-502 viewed from c direction; hydrogenatoms are omitted for clarity. Carbon is gold, oxygen red,nitrogen blue, and hydrogen lavender.RESEARCH ARTICLECitation: CCS Chem. 2024 , Just Published. DOI: 10.31635/ccschem.024.202303625Link to VoR: https://doi.org/10.31635/ccschem.024.2023036253SQUEEZE function of PLATON.70The characteristicfeature of CPOC-501 andCPOC-502 was the concave-shaped C4RACHO as six nodes in an octahedral arrange-ment, along with tritopic amine linkers on the triangularfacets. Notably, this kind of [6+8] octahedral arrange-ment has only been reported in coordination cagesystems71and has not yet been observed in organic cagesin the Cambridge Structural Database.72CPOC-501 andCPOC-502 had a void volume of approximately 6500 ?3,calculated using Voidoo,73,74and an inner diameter ( din)of around 3.3 nm. This places them among the largestpurely organic cages, such as the cubic [8+12] salicyli-mine cage with a dinof 3.3 nm, the [6+12] octahedralCPOC-303 with a dinof 3.9 nm, and the [12+24] porphyrincages with a dinof 4.3 nm.60,75,76There are 12 accessiblerhombic windows with a side length of approximately10.5 ? in both CPOC-501 andCPOC-502 , which are thedistances between the centers of C4RA ＊s phenyl ring andthose of TAPB and TAPT. The pore window to the cavityhas a diameter of approximately 7.5 ?, providing suf ?-cient space for gas molecules to enter the cavity. Thesolid-state packing of CPOC-501 suggests that eachsingle cage is closely surrounded by six neighboringcages, forming an ef ?cient packing. The cage cavitiesare connected through the windows, creating open chan-nels along the a,b, and caxes (Figure 1candSupportingInformation Figures S12 and S13 ). In contrast, a differentpacking style was observed for CPOC-502 compared toCPOC-501 , as they crystallized in different space groups.",CCDC
"Table S1.  Crystallographic Data and Structure Refinement for CPOC -501 and CPOC -502  CPOC -501 CPOC -502 Formula  C456H480N24O24 C456H432N48O48 M / g mol-1 7328.66  7352.47  T / K  100 100 Crystal system  triclinic  trigonal  Space group  P-1 R-3 a / ? 27.4912(3)  53.9893(9)  b / ? 28.7606(3)  53.9893(9)  c / ? 32.3808(5)  27.6137(4)  汐 (～ ) 102.5680(10)  90 汕 (～ ) 102.6990(10)  90 污 (～ ) 95.5940(10)  120 V / ?3 24092.0(5)  69706(3)  Z 1 3 米 (mm-1) 0.258  0.276  Data measured  210299  66327  Ind. reflns  74789  25954  Parameters  2474  837 GOF on F2 1.049  1.182  R1a [I ?考(I)]  0.0908  0.1046  wR 2b  0.2889  0.3173  CCDC number  2222407  2222408   aR1 = ﹉||F o| - |Fc||/﹉|F o|. bwR 2 = {﹉[w(F o2 - Fc2)2]/ ﹉[w( F o2)2]}11/2   S13  Section S 4. Additional Figures   Figure S 12. Molecular packing of CPOC -501 in solid state viewed from a direction; hydrogen atoms are omitted for clarity.  Carbon is gray, oxygen red, nitrogen blue.",CCDC
"Experimental MethodsSynthesis of CPOC-501C4RACHO (0.05 mmol, 41 mg) and TAPB (0.067 mmol,21 mg) were added to o-Xylene (3 mL). The mixture wassealed in a 10 mL glass vial, and put in an oven with atemperature of 100 ～C for 72 h without stirring, duringwhich time red block crystals were formed. After remov-ing the glass vial from the oven and allowing it to cool toroom temperature, red block crystals were then separat-ed by ?ltration and washed three times with methanol.",comprehensive synthesis
"The separated crystals were further immersed and ex-changed six times every 24 h in methanol before activat-ing at 100 ～C under a high vacuum for 12 h to affordCPOC-501 with a yield of about 71%.1H NMR (400 MHz,CDCl 3, 298 K): 汛16.47 (m, 1H), 10.64 (s, 1H), 9.18 (s, 1H),7.77 (s, 1H), 7.74 (s, 1H), 7.47 (s, 1H), 7.39 (s, 1H), 4.71 (t, 1H),2.15 (t, 2H), 1.26 (m, 1H), 1.08 (d, 6H).",comprehensive synthesis
"Synthesis of CPOC-502C4RACHO (0.05 mmol, 41 mg) and TAPT (0.067 mmol,21 mg) were added to DMA (3 mL). The mixture wassealed in a 10 mL glass vial and kept at 2 每8 ～C for 15 dayswithout stirring, during which time red block crystalswere formed. The crystals were then separated by ?ltra-tion and washed three times with methanol. The sepa-rated crystals were further immersed and exchanged sixtimes every 24 h in methanol before activating at 100 ～Cunder a high vacuum for 12 h to afforded CPOC-501 witha yield of about 65%.1H NMR (400 MHz, CDCl 3, 298 K): 汛16.68 (m, 1H), 11.14 (s, 1H), 9.37 (s, 1H), 8.75 (s, 1H), 7.62 (t,1H), 7.40 (t, 1H), 4.73 (m, 1H), 2.14 (d, 2H). 1.26 (m, 1H), 1.10(d, 6H).",comprehensive synthesis
"Keywords: C2H6/C2H4separation, porous organiccages, calix[4]resorcinarene, gas adsorption andseparation, host 每guest interactionsRESEARCH ARTICLEReceived: Nov. 9, 2023 | Accepted: Jan. 24, 2024 | Published: Feb. 20, 2024Citation: CCS Chem. 2024 , Just Published. DOI: 10.31635/ccschem.024.202303625Link to VoR: https://doi.org/10.31635/ccschem.024.2023036251IntroductionEthylene (C 2H4), the primary feedstock in the petro-chemical industry, is predominantly produced throughsteam cracking of petroleum-based feedstocks, resultingin ethane (C 2H6) as the major byproduct.1每3In industrialsettings, the traditional method for removing C 2H6fromthe C 2H4/C2H6mixture involves large distillation towersoperating under low-temperature and high-pressureconditions.4This process consumes a signi ?cant amountof energy, making exploring alternative and more ef ?-cient C 2H4puri?cation methods imperative. Among thevarious technologies available, adsorption and separa-tion utilizing porous adsorbents have shown promise dueto their low energy consumption. Two types of porousadsorbents are used for C 2H6/C2H4separation: C 2H4-selective and C 2H6-selective porous materials.5每7The for-mer relies on introducing open metal sites or highly polargroups into the pores for effective separation,8每10whilethe latter involves creating nonpolar/inert-pore surfaceswith aromatic or aliphatic moieties.11每13However, C 2H6-selective porous materials often suffer from low capacityand poor selectivity compared to C 2H4-selective materi-als due to their lack of suitable binding sites. Neverthe-less, C 2H6-selective adsorbents offer the advantage ofdirectly providing C 2H4in a single adsorption step, elimi-nating the need for an additional energy-intensivedesorption step. This simpli ?es the separation processand can save nearly 40% of energy consumption.14Thus,there is a strong justi ?cation for developing C 2H6-selective adsorbents with exceptional C 2H6/C2H4sepa-ration performance (high C 2H6capacity and selectivity)and long-lasting durability. Metal 每organic frameworks(MOFs) have been extensively investigated for one-stepC2H6/C2H4separation.15每20However, research on purelyporous organic materials (POMs) with a metal-free com-position and native nonpolar/inert pore surfaces, whichare potential candidates as C 2H6-selective adsorbents, isstill in its early stages.21每23Porous organic cages (POCs) are an emerging class ofPOMs that are constructed by covalently linking purelyorganic synthons into zero-dimensional (0D) discretemacromolecules with permanent intrinsic cavities.24每27With their 0D nature, POCs possess inherent advantagessuch as solution processing, easy regeneration, and pre-cise modi ?cation.28每30In 2009, Cooper et al.31publishedthe?rst investigation on tetrahedral [4+4] imine-linked(C=N) POCs for gas sorption, achieving a remarkableBrunauer 每Emmett 每Teller (BET) surface area of up to624 m2g?1. Since then, the design and synthesis of POCswith different condensation modes, shapes, sizes, andfunctions have seen substantial growth.32每43However, thenumber of POCs reported is still much fewer than that ofMOFs and covalent organic framework materials.44每49Despite over a decade of continuous efforts, the reportedPOCs mainly exhibit BET values of less than 1000 m2g?1for the limiting cage size, with the exception of cuboc-tahedral [8+12] boronic ester-linked (B 每O) POC reportedby Mastalerz and coworkers,50which reached a BET valueexceeding 3000 m2g?1. However, increasing the size oforganic cages often results in porosity loss or reductionduring desolvation, leading to structure collapse and/orimproper packing.51,52In addition, most reported POCsare assembled through dynamic and reversible imine andboronic ester bonds,53每55which are susceptible to hydro-lysis under humid conditions, resulting in skeleton col-lapse. These challenges signi ?cantly limit the scope ofPOCs ＊research, highlighting the urgent need to explorelarge, robust POCs to expand their applications.",surface area
"The permanent porosity of desolvated CPOC-501 andCPOC-502 was con ?rmed through N 2gas sorptionexperiments conducted at 77 K. As shown in Figure 3,the isotherms of both cages exhibit the typical type Iadsorption behavior. According to the BET model(Supporting Information Figures S16 and S17 ), the sur-face area of CPOC-501 is 1832 m2g?1, while that of CPOC-502 is 2175 m2g?1. Similarly, the Langmuir model(Supporting Information Figures S18 and S19 ) estimatesthe surface areas to be 2221 m2g?1forCPOC-501 and2747 m2g?1forCPOC-502 . These results demonstrate thesubstantial in ?uence of the solid-state packing style onthe cage surface areas, given the closely matched cagevolumes of both CPOCs. The pore-size distribution (PSD)was determined using the density functional theory mod-el. According to Zeo++ software,80the PSD values forCPOC-501 (‵1.85 nm) and CPOC-502 (‵1.94 nm) corre-late with the calculated largest pore diameters of 1.94and 1.99 nm, respectively.",surface area
"These dimensions render them among the largest POCsreported to date. Importantly, their crystal structuresrepresent the ?rst examples of [6+8] POCs determinedby X-ray diffraction. The exceptional chemical stabilityexhibited by these cages in various aqueous, acidic, andbasic conditions can be attributed to the multivalencesresulting from multiple amine bonds via keto-enaminetautomerization. Notably, CPOC-501 andCPOC-502 dis-play an impressive surface area of up to 2175 m2g?1andexhibit a pronounced preference for adsorbing C 2H6overC2H4. The C 2H6/C2H4selectivities observed in thesecages reach remarkable values of up to 2.83, which pre-sents one of the highest in reported POMs. Moreover, wehave conducted breakthrough experiments to validatethe practical performance of these POCs. The resultsdemonstrate the capability of CPOC-501 and CPOC-502 to effectively separate C 2H4from C 2H6/C2H4gasmixtures in a single adsorption step, yielding high-purityC2H4(>99.9%). Furthermore, these POCs exhibit excel-lent recyclability, maintaining their separation ef ?ciencyfor up to six cycles without deterioration. Moreover, theCPOCs can be prepared easily under mild reaction con-ditions and separated easily in considerably high yields.",surface area
"Robust Giant Octahedral [6+8]Porous Organic Cages for Ef ?cientEthylene/Ethane SeparationLijuan Feng1,2, Yan-Xi Tan1, El-Sayed M. El-Sayed3, Fenglei Qiu1,2, Wenjing Wang1, Kongzhao Su1,4* & Daqiang Yuan1,4,5*",this paper's author
"View Article OnlineS1   Supporting Information   Robust Giant Octahedral [6+8] Porous Organic Cages for E?cient Ethylene/Ethane Separation    Lijuan Feng,1,2 Yan-Xi Tan,1 El-Sayed M. El -Sayed,5 Fenglei Qiu,1,2 Wenjing Wang,1 Kongzhao Su1,3* & Daqiang Yuan1,3,4*",this paper's author
