content,category
"Crystallographic information ?les (4-d27, 4, and 5) ( CIF)NMR Spectra; DOSY experiments; mass spectra; infraredspectra; single-crystal X-ray di ?raction data; NMR andMS data of cage formation experiments, cage-to-cagescrambling, aldehyde exchange, amine exchange; andestimating thermodynamic data for amine exchange(PDF)←AUTHOR INFORMATIONCorresponding AuthorMichael Mastalerz ?Organisch-Chemisches Institut, Ruprecht-Karls-Universita ?t Heidelberg, 69120 Heidelberg, Germany;orcid.org/0000-0003-3231-4816 ;Email: michael.mastalerz@oci.uni-heidelberg.deAuthorsTobias H. G. Schick ?Organisch-Chemisches Institut, Ruprecht-Karls-Universita ?t Heidelberg, 69120 Heidelberg, GermanyFrank Rominger ?Organisch-Chemisches Institut, Ruprecht-Karls-Universita ?t Heidelberg, 69120 Heidelberg, GermanyComplete contact information is available at:https://pubs.acs.org/10.1021/acs.joc.0c01887NotesThe authors declare no competing ?nancial interest.←ACKNOWLEDGMENTSThe authors thank the European Research Council (ERC) forfunding this project in the frame of the consolidators grant CaTsn DOCs (grant agreement no. 725765).",affiliation
"Organisch-Chemisches Institut Ruprecht-Karls-Universit?t Heidelberg, Im Neuenheimer Feld 270, 69120 Heidelberg (Germany).",affiliation
CCDC-number : 2016234Table S2: Crystal data and structure refinement for 4-d27.,CCDC
CCDC-number : 2016637Table S3: Crystal data and structure refinement for 4.,CCDC
CCDC-number : 2016235Table S4: Crystal data and structure refinement for 5.,CCDC
"Synthesis of (2,4,6-Triethylbenzene-1,3,5-triyl)-trimethanamine (2). 1,3,5-Tri(bromomethyl)-2,4,6-triethylben-zene21and (2,4,6-triethylbenzene-1,3,5-triyl)-trimethanamine ( 2)22were obtained by following known procedures from the literature. Allobtained analytical data were in accordance with the literature.21,22Synthesis of 1-( tert-Butyl)-3,5-dimethylbenzene. To an icebath cooled solution of m-xylene (5.00 mL, 40.5 mmol) and tert-butylchloride (2.50 mL, 22.7 mmol) in dichloromethane (10 mL),aluminum chloride (250 mg, 187 mmol) was added. After stirring thereaction mixture for 1 h, it was allowed to warm up to room temperatureand stirred for another 1.5 h at room temperature. Under ice bath,cooling water (150 mL) was added and the aqueous phase wasseparated and extracted with dichloromethane (3 ℅50 mL). Theorganic layers were combined and dried over magnesium sulfate. After?ltration, the solvent was removed under reduced pressure (10 mbar,50～C) to give a pale-yellow oil (2.54 g, 15.7 mmol, 70%). [n]D25 =1.493,1H NMR (300 MHz, CDCl3):汛(ppm) 7.02 (s, 2H, Ar ?2/6-H),6.84 (s, 1H, Ar ?4-H), 2.33 (s, ?CH3), and 1.31 (s, 9H, ?C(CH3)3).",comprehensive synthesis
"The analytical data are in accordance with the literature.23,24Synthesis of 5-( tert-Butyl)isophthalic Acid. Potassium perman-ganate (33.0 g, 207 mmol), 1-( tert-butyl)-3,5-dimethylbenzene (5.60 g,34.5 mmol), and sodium carbonate (9.65 g, 91.1 mmol) weresuspended in a mixture of water/ tert-butanol [60 mL, 1:1 (v/v)] andstirred under re ?ux (oil bath) for 1 h. After cooling the reaction mixtureto room temperature, the solid was separated by ?ltration, washed withwater (200 mL), and disposed. The mother liquor was diluted with asaturated solution of sodium thiosulfate (400 mL) and the resultingsolid separated by ?ltration. The mother liquor was washed withmethyl- tert-butylether (3 ℅100 mL) and acidi ?ed with 5 Mhydrochloride acid (100 mL). After cooling the aqueous phase withan ice bath, a colorless solid precipitated, which was isolated by?ltration. (4.73 g, 21.3 mmol, 62%) mp > 300 ～C,1H NMR (300 MHz,MeOD): 汛(ppm) 8.44 (s, 1H, Ar ?4-H), 8.30 (s, 2H, Ar ?2/4-H), and1.39 (s, 9H, ?C(CH3)3). The analytical data are in accordance with theliterature.23Synthesis of (5-( tert-Butyl)-1,3-dihydr oxymethyleneben-zene. Under argon atmosphere and ice bath cooling, a solution of 5-(tert-butyl)isophthalic acid (4.00 g, 18.0 mmol) in THF (dry, 70 mL)was added to a suspension of lithium aluminum hydride (4.10 g, 108mmol) in THF (dry, 100 mL). The ice bath cooling was removed andthe reaction mixture stirred for 12 h. Water (50 mL) was slowly addedunder ice bath cooling and a saturated solution of sodium tartate (50mL) was added. The reaction mixture was extracted with ethyl acetate(3℅200 mL), the organic layers were combined and dried overmagnesium sulfate. After ?ltration, the solvent was evaporated underreduced pressure (8 mbar, 50 ～C) to give the diol as a colorless solid(4.00 g, 20.6 mmol, quant.). mp > 76 ～C,11H NMR (300 MHz,CDCl 3):汛(ppm) 7.32 (s, 2H, Ar ?2/4-H), 7.19 (s, 1H, Ar ?4-H), 4.68(s, 4H, ?CH2OH), and 1.33 (s, 9H, ?C(CH3)3). The analytical dataare in accordance with the literature.25Synthesis of 5-( tert-Butyl)isophthalaldehyde (1). To 1,3-bis(hydroxymethyl)-5- tert-butylbenzene (4.00 g, 20.6 mmol) andmanganese dioxide (18.0 g, 206 mmol), chloroform (90 mL) wasadded. The reaction mixture was stirred under re ?ux (oil bath) for 12 hand then cooled to room temperature. After ?ltration over Celite, thesolvent was removed under reduced pressure (10 mbar, 50 ～C) to givethe dialdehyde as a colorless solid (2.33 g, 12.3 mmol, 60%). mp > 64～C,11H NMR (300 MHz, CDCl3):汛(ppm) 10.1 (s, 2H, C HO), 8.18(s, 3H, Ar ?H), and 1.41 (s, 9H, ?C(CH3)3). The analytical data are inaccordance with the literature.25Synthesis of 1-( tert-Butyl)-3,5-dimethylbenzene-d9. To asolution of m-xylene (2.50 mL, 18.6 mmol) and tert-butylchloride(1.19 mL, 9.90 mmol) in dichloromethane (5 mL), aluminum chloride(115 mg, 86.0 mmol) was added under ice bath cooling. After stirringthe reaction mixture for 1 h, the cooling was removed and the reactionmixture was stirred for another 1.5 h at room temperature. Water (30mL) was added under ice bath cooling; the aqueous phase wasseparated and extracted with dichloromethane (3 ℅20 mL). Theorganic layers were combined and dried over magnesium sulfate. After?ltration, the solvent was removed under reduced pressure (6 mbar, 50～C) to give a colorless oil (1.15 g, 7.10 mmol, 72%). [n]D25 = 1.493,1HNMR (400 MHz, CDCl 3):汛(ppm) 7.02 (s, 2H, Ar ?2/6-H), 6.84 (s,1H, Ar ?4-H), 2.35 (s, ?CH3).13C{1H} NMR (100 MHz, CDCl3):汛(ppm) 151.6 (C1), 137.5 (C3, C5), 127.2 (C4), 123.3 (C2, C6), 34.8(C(CD3)3) 30.46 ( ※octett §,JCD= 16 Hz, C( CD3)3), and 22.1 ( CH3).",comprehensive synthesis
"Synthesis of 5-( tert-Butyl)isophthalic Acid-d9. Potassiumpermanganate (6.47 g, 40.6 mmol), 1-(nonadeutero- tert-butyl)-3,5-dimethylbenzene-d9 (1.15 g, 6.73 mmol), and sodium carbonate (1.88g, 17.7 mmol) were suspended in a mixture of water/ tert-butanol [30mL, 1:1 (v/v)] and stirred under re ?ux (oil bath) for 1 h. After coolingthe reaction mixture to room temperature, the solid was separated by?ltration, washed with water (50 mL), and disposed. The mother liquorwas diluted with a saturated solution of sodium thiosulfate (100 mL),and the formed solid was separated by ?ltration. The mother liquor waswashed with methyl- tert-butylether (3 ℅50 mL) and acidi ?ed with 5 Mhydrochloride acid (50 mL). After cooling the aqueous phase with anice bath, a colorless solid precipitated, which was collected by ?ltration(911 mg, 3.94 mmol, 59%). mp > 300 ～C.",comprehensive synthesis
"Synthesis of (5-( tert-Butyl)-1,3-dihydroxymethyleneben-zene-d9. Under argon atmosphere and ice bath cooling, a solutionof 5-(nonadeutero- tert-butyl)isophthalic acid (911 mg, 3.94 mmol) inTHF (dry, 20 mL) was added to a suspension of lithium aluminumhydride (895 mg, 23.5 mmol) in THF (dry, 20 mL). The ice bathcooling was removed, and the reaction mixture stirred for 12 h. Water(25 mL) was slowly added under ice bath cooling, and a saturatedThe Journal of Organic Chemistry pubs.acs.org/joc Articlehttps://dx.doi.org/10.1021/acs.joc.0c01887J. Org. Chem. 2020, 85, 13757 ?1377113766solution of sodium tartate (25 mL) was added. The reaction mixturewas extracted with ethyl acetate (3 ℅100 mL); the organic layers werecombined and dried over magnesium sulfate. After ?ltration, the solventwas evaporated under reduced pressure (10 mbar, 50 ～C) to give thediol as a colorless solid (699 mg, 3.43 mmol, 87%). mp > 75 ?76～C,1HNMR (300 MHz, CDCl3):汛(ppm) 7.31 (s, 2H, Ar ?2/4-H), 7.19 (s,1H, Ar ?4-H), 4.69 (s, 4H, ?CH2OH), and 1.76 (s, 2H, ?OH).",comprehensive synthesis
"Synthesis of 5-( tert-Butyl)isophthalaldehyde-d9 (1-d9). To1,3-bis(hydroxymethyl)-5-(nonadeutero- tert-butyl)benzene (699 mg,3.44 mmol) and manganese dioxide (3.00 g, 3.44 mmol), chloroform(15 mL) was added. The reaction mixture was stirred under re ?ux for12 h and then cooled to room temperature. After ?ltration over Celitethe solvent was removed under reduced pressure (10 mbar, 50 ～C) togive the product a colorless solid (459 mg, 2.30 mmol, 67%). mp > 60 ?61～C,1H NMR (300 MHz, CDCl3):汛(ppm) 10.1 (s, 2H, C HO), 8.19(s, 1H, Ar ?H), and 8.18 (s, 2H, Ar ?H).13C{1H} NMR (150 MHz,CDCl3):汛(ppm) 191.7 ( CHO), 153.9 (C5), 137.1 (C1, C3), 131.8(C4, C6), 129.2 (C2), and 34.7 ( C(CD 3)3) 30.0 (o, J= 16 Hz,C(CD3)3). FT-IR (ATR) 糸?(cm?1): 3369 (w), 3253 (w), 3052 (w),2933 (w), 2839 (w), 2737 (w), 2218 (m), 2126 (w), 2056 (w), 1943(w), 1846 (w), 1701 (s), 1687 (s), 1596 (m), 1462 (m), 1397 (m),1382 (m), 1294 (m), 1197 (m), 1146 (m), 1055 (m), 1010 (m), 967(m), 891 (m), 823 (m), 736 (m), 686 (m), and 652 (m). HRMS-EI(pos): m/z= 79.0512 (1), 94.0728 (4), 149.0570 (16), 181.1122(100), and 199.1543 (4). [M]+calcd for C12H5D9O2, 199.1553; found,199.1543. Elemental Anal. Calcd. for C12H5D9O2: C, 72.32; H, 7.09.",comprehensive synthesis
