content,category
"CDCs canalsobesynthesized byapartially directed approach(middle row inScheme 1a)withatheoretical formationprobability of25%(seeFigure S1b),with theexception oftheCDCs synthesized byFujita etal.[5]andLietal.[9b]asthesingly catenated dimers because oftheir specific design, whichfavors minimized electrostatic repulsion and maximizedhydrophobic interactions .Alternative strategies that yieldexclusively oneCDC species aretherefore highly desired soastorender them more accessible forpotential functions and[*]Dr.P.Li,[+]Prof. C.Yu,J.Xu,Z.-M. Li,L.Zou, Prof. S.ZhangFrontiers Science Center forTransformati veMoleculesShanghai KeyLaboratory ofElectri calInsulation and Thermal AgingSchool ofChemist ryand Chemica lEngineeringShanghai Jiao TongUniversi ty800Dongchuan Road, Shanghai 200240 (China)E-mail :sdzhang@sjt u.edu.cnS.Xu,[+]Z.-Y.Li,Prof. X.LiuKeyLaboratory ofSpecially Functional Polymeric Materials andRelated Technolog y(ECUST ),Ministry ofEducationEast China Universi tyofScience and Technology130Meilong Road, Shanghai 200237 (China)E-mail :liuxiaoyun@ ecust.edu.cnProf. Z.LiuTheNational and Local Joint Engineeri ngResearch Center forBiomanuf acturing ofChiral ChemicalsZhejiang University ofTechnologyHangzhou 310014 (China)E-mail :microliu@zj ut.edu.cnDr.X.LengState KeyLaboratory ofOrganometa llicChemistry ,ShanghaiInstitute ofOrganic Chemist ry,Chinese Academ yofSciencesShanghai 200032 (China)S.GaoNeurologic alDepartm ent, Shanghai Jiao TongUniversi tyAffiliatedSixth People＊s Hospital ,South CampusShanghai 200240 (China)[++]These authors contribu tedequally tothiswork.",affiliation
S23 10. X-Ray Crystallography  Single  crystals  of CSC -1 suitable for X -ray c rystallography  were obtained  by slow vapor diffusion of diethyl ether into a concentrated THF  solution of  CSC -1. CCDC deposition nu mber 1975007.,CCDC
"Table S 1. Crystal data and structure refinement for CSC -1 Identification code  CSC-1 Empirical formula    C168H132N12S12 Formula weight  2703.57  Temperature  205.82  K Wavelength  1.34139 ? Crystal system, space group  Triclinic , ??1? Unit cell dimensions      a = 18.3116  (16) ?, 汐 =74.473 ～  b = 19.4359  (18) ?, 汕 = 75.276 ～  c = 29.992  (3) ?, 污 = 84.941 ～ V olume   9944.6(16)  ?3 Z, Calculated density   2, 0.903 g/cm3 Absorption coefficient  1.006 mm-1 F (000)  2832 Crystal size  0.12 ℅ 0.08 ℅ 0.0 6 mm3 Theta range for data collection  2.784～ to 55. 138～ Limiting indices   -22 <= h <= 22, -23 <= k <= 23, -36 <= l <= 35 Reflections collected / unique  117664  / 37560  [Rint = 0.0 691] Completeness to theta = 67.684  99.6 % Absorption correction     Semi -empirical from eq uivalents  Max and min. transmission  0.7508 and 0. 5085  Refinement method  Full-matrix -block  least-squares on F^2  Data / restraints / parameters  37560/108/1756 Goodness -of-fit on F^2    1.163 Final R indices [I>2 sigma (I)]   R1 = 0. 1067 , wR2 = 0.2 821 R indices (all data)  R1 = 0. 1410 , wR2 = 0.3 032 Extinction coefficient  n/a Largest diff. peak and hole  2.180  and -1.274  e.A-3    S24 Single  crystals  of CDC-1 suitable for X -ray c rystallography  were obtained from the crude products by slow evaporation of solvent from a THF solution. CDC-1 crystallized in monoclinic system with space group C2/c . CCDC deposition number 1944807.",CCDC
"3,5-Di(3-nitrophenyl) benzaldehyde : 3,5-dibromobenzaldehyde (4.00 g, 15.16 mmol) , 3-nitrobenzeneboronic acid (7.59 g, 45.48 mmol), K 2CO 3 (31.38 g, 227.39 mmol)  and Pd(PPh 3)4 (0.88 g, 0.76 mmol)  were  charged int o a Schlenk flask. After degassing and backfilling with nitrogen for three times, solvents of toluene  (150 mL), ethano l (150 mL) and DI water  (120 mL ) were added  by syringe . The resulting mixture  was heated to reflux under vigorous stirring for 24 h  and then cooled to 25 oC . The suspension was filtrated to collect the filter cake, which was further purified  by column chromatography (DCM  / Petroleum ether  = 2:1 v/v) t o afford the product as a white solid (5.22 g, 99 %  yield ). 1H NMR ( 500 MHz, CDCl 3) 汛 10.22 (s, 1H), 8.56 (t, J = 2.0 Hz, 2H), 8.33 (dd, J = 8.5, 1.5 Hz, 2H), 8.20 (d, J = 2.0 Hz, 2H), 8.11 (t, J = 1.5 Hz, 1H), 8.03 (d,  J = 8.0 Hz, 2H), 7.73 (t, J = 8.0 Hz, 2H). HR -MS (ESI): Calcd for C19H12N2NaO5 [M+H]+ 371.0644; Found, 371.0654.  Note: The product is only slightly S9 soluble in all deuterated solvents so its 13C NMR spectrum is unavailable.",comprehensive synthesis
"2-(3,5-Di(3-nitrophenyl)phenyl) -1,3-dithiane : 1,3 -propanedithiol (2.38 mL, 22.48 mmol) was charged  to the solution of compound 3,5-Di(3-nitrophenyl) benzaldehyde  (5.22 g, 14.98 mmol) and BF 3﹞OEt 2 (2.76 mL, 22.48 mmol) in chloroform (400 mL) under nitrogen. The mixture was stirred and heated to reflux under nitrogen for 12 h. The reaction mixture was cool ed down to room temperature and quenched by adding  NaOH solution. The organic  phase was collect ed, dried over MgSO 4 and concentrated in vacuo . The crude product was further purified by column chromatography (DCM  / Petroleum ether  = 2:1 v/v) to afford the product as a white solid (6.51 g, 99%  yield ). 1H NMR ( 500 MHz, CDCl 3) 汛 8.50 (t, J = 2.5 Hz,  2H), 8.25 (ddd, J = 3.5, 2.5, 1.0 Hz, 2H), 7.97 (dt, J = 10.0, 1.0 Hz, 2H), 7.78 (s, 3H), 7.66 (t, J = 8.0 Hz, 2H), 5.33 (s, 1H), 3.13 (td, J = 18.0, 2.5 Hz, 2H), 2.99 (dt, J = 18.0, 4.5 Hz, 2H), 2.26 每 2.2 (m, 1H), 2.04 每 1.94 (m, 1H). 13C NMR ( 125 MHz, CDCl 3) 汛 148.87, 141.93, 141.49, 140.47, 133.44, 130.08, 126.93, 129.29, 122.82, 122.26, 51.30, 32.26, 25.05. HR -MS (ESI): Calcd for C 22H19N2O4S2 [M+H]+ 439.079; Found, 439.077.",comprehensive synthesis
"2-(3,5-Di(3-aminophenyl)phenyl) -1,3-dithiane  (linker 1): To a solution of compound 2-(3,5-Di(3-nitrophenyl)phenyl) -1,3-dithiane  (6.51 g, 14.84 mmol) in ethyl acetate  (400 mL)  was added stannous chloride dihydrate (33.49 g, 148.46 mmol). The mixture was sti rred and heated to reflux for 24 h  and then  cooled down to room temperature . The yellow solution was quenched  with saturated NaHCO 3 solution  and the organic phase was collected. After extracting t he aqueous  phase with EtOAc ( 3℅S10 100 mL), the combined organic phases were concentrated in vacuo . The crude product was further purified by column chromatography (100 % EtOAc) to afford the product as a light yellow  solid  (5.17 g, 92%  yield ). 1H NMR ( 500 MHz, CDCl 3) 汛 7.69 (t, J = 1.5 Hz,  1H), 7.63 (s, 2H), 7.23 (t, J = 9.5 Hz, 2H), 7.04 (d, J = 9.5 Hz, 2H), 6.95 (s, 2H), 6.70 (dd, J = 10.0, 1.5 Hz, 2H), 5.27 (s, 1H), 3.75 (br, 4H), 3.10 (td, J = 17.5, 2.0 Hz, 2H), 2.96 (dt, J = 18.0, 4.0 Hz,  2H), 2.22 每 2.19 (m, 1H), 2.02 每 1.93 ( m, 1H). 13C NMR ( 125 MHz, CDCl 3) 汛 146.87, 142.41, 142.02, 139.93, 129.82, 126.30, 125.61, 117.90, 114.46, 114.12, 51.86, 32.32, 25.25. HR -MS (ESI): Calcd for C 22H23N2S2 [M+H]+ 379.130; Found, 379.1 30.",comprehensive synthesis
"3,3''-diamino -m-terphenyl  (linker 2 ): 1,3-dibromobenzene  (3.00 g, 12.71 mmol), 3-aminobenzeneboronic acid  (5.22 g, 38.15 mmol), K 2CO 3 (26.30 g, 190.65 mmol) and Pd(PPh 3)4 (0.73 g, 0.64 mmol) were charged into a Schlenk flask. After d egassing and filling with nitrogen for three times, toluene (120 mL), ethanol (120 mL) and DI water (90 mL) were added by syringe. The resulting mixture was heated to reflux under vigorous stirring for 24 h and then cooled to room temperature. The organic phase was collected and concentrate to drynes s, which was further purified by column chromatography ( EtOAc  / Hexane = 2:1 v/v) to afford the product as a yellow solid (3.16 g, 96 % yield).  1H NMR (500 MHz, CDCl 3) 汛 7.75 (s, 1H),  7.54 每 7.51 (m, 2H) ,  7.47 (m, 1H), 7.2 4 (t, J = 7.5 Hz, 2H), 7.0 4 (dt, J = 17.5, 2.0 Hz,  2H), 6.96 (s, 2H), 6.70 (dd, J = 10.0, 1.5 Hz, 2H ), 3.71 (br, 4H). 13C NMR (125 MHz, CDCl 3) 汛 146.87, 142.57, 141.91, 129.84, 129.07, 126.18, 126.15, 117.89, 114.32, 114.10.  HR-MS (ESI): Calcd for C 18H17N2 [M+H]+ 261.139; Found, 261.137.  S11 5. Synthesis of the Interlocked CSCs and CDCs   CSC-1: Linker 1 (150 mg, 0.396 mmol, 1.5 equiv.) was dissolved in chloroform (60 mL), followed by adding catalytic amount of TFA (0.079 mmol, 0.1 equiv.) to afford a slightly turb id solution. A solution of 1,3,5 -triformylbenzene ( 42.8 mg, 0.264 mmol, 1.0 equiv. ) was then added dropwise.  The imine condensation reaction proceeded for 48 h so that  the conver sion of MC-1 to the thermodynamically stable product  CSC-1 can be maximize d. The crude yield of CSC-1 was 63% as determined from the 1H NMR spectrum by using ethyl acetate as internal standard (see Fig ure S12). Purification of CSC -1 was performed on flash chromatographic column packed with silica gel with tertiary solvents of THF/Hexane/Ammonium hydroxide (1:1:0.05), affording a light yellow solid ( 107 mg, 60% isolated yield).",comprehensive synthesis
"For the purpose of facile preparation, the reduc tion of CSC-1 was conducted  by directly adding NaBH(OAc) 3 (1.68 g, 7.92 mmol, 30 equiv.) into the condensation mixture after 48 h. After another 12 h, the solids were filtered off and the filtrate was neutralized with saturated NaHCO 3 solution. The organic phase wa s dried over MgSO 4, concentrated to approximately 1/2 of its original volume and was then slowly evaporated at room temperature, causing the precipitation of pure CDC-1 as a light yellow solid  (53 mg, 30% yield) . The purification of CDC -1 can also be performed using the same protocol as CSC -1, affording a light yellow solid (50% yield).",comprehensive synthesis
"CDC-2: Linker  2 (260.0 mg, 1.00 mmol, 1.5 equiv.) was dissolved in chloroform (210 mL), followed by the addition of TFA (0.20 mmol, 0.1 equiv.). 1,3,5 -triformylbenzene (108.5 mg, 0.67 mmol, 1.0 equiv.) dissolved in chloroform (10mL) was then added dropwise. The imine cond ensation reaction proceeded for 4  h to allow the maximum formation of  CSC-2. The yield of CSC-2 was 16% as determined from the 1H NMR spectrum by using ethyl acetate as internal  standard (see Fig ure S13). Then , NaBH(OAc) 3 (4.24 g, 20.00 mmol, 30 equiv.) was added to reduce the reversible imine bond. After another 12 h, the solids were filtered off and  the filtrate was neutralized with saturated NaHCO 3 solution. The organic phase was dried over MgSO 4 and concentrated to dry ness. Pure CDC-2 was obtained  by column chromatography (DCM / Acetone =50:1 v/v)  to afford a wh ite solid  (20 mg, 6% yield).",comprehensive synthesis
"CSC -3r: Linker  1 (219.5 mg, 0.58 mmol, 1.5 equiv.) was dissolved in chloroform (110 mL), followed by the addition of TFA (0.12 mmol, 0.1 equiv.). 1,3,5 -Tris(4 -formylphenyl)benzene (151.0 mg, 0.38 mmol, 1.0 equiv.) dissolved in chloroform (10mL) was then added dropwise. The imine condensation reaction proceeded for 24 h .",comprehensive synthesis
