content,category
"12F o re x a m p l e ,F u j i t a et al. reported several triazine-basedScheme 1 One-pot synthesis of triazine-based cage 1.aKey Laboratory of Biomedical Polymers (Ministry of Education), College ofChemistry and Molecular Sciences, Wuhan University, Wuhan 430072, China.E-mail: chengwang@whu.edu.cnbState Key Laboratory of Structural Chemistry, Fujian Institute of Research on theStructure of Matter, Chinese Academy of Sciences, Fuzhou 350002, China.E-mail: ydq@fjirsm.ac.cncDepartment of Chemistry, Youngstown State University, One University Plaza,Youngstown, Ohio 44555, USA?Electronic supplementary information (ESI) available: Details of the synthesis,NMR spectroscopic, and MALDI-TOF mass and crystallographic data. CCDC1022375. For ESI and crystallographic data in CIF or other electronic formatsee DOI: 10.1039/c4cc08883b?These authors contributed equally.Received 6th November 2014,Accepted 16th December 2014DOI: 10.1039/c4cc08883bwww.rsc.org/chemcommChemCommCOMMUNICATIONPublished on 16 December 2014. Downloaded by Zhejiang University on 5/11/2024 2:50:32 PM.",affiliation
"a Key Laboratory of Biomedical Polymers  (Ministry  of Education), College of Chemistry  and Molecular Sciences,  Wuhan Univerisity, Wuhan 430072 (China) b Fujian Institute of Research on the Structure of Matter, Organic Solids  Laboratory,  Institute of Chemistry, Chinese  Academy  of Sciences, Fuzhou 350002 (China) c Department of Chemistry, Youngstown State  University, One University Plaza, Youngstown, Ohio 44555 (USA) # These authors contributed equally to  this work.",affiliation
See section  5 for details of data collection and refinement. CCDC  1022375 contains crystallographic data for this  paper.,CCDC
"N2, H2, CH 4, and CO 2 physisorption isotherms were measured up to 1 bar using a Micrometrics ASAP 2020  surface area and pore size analyzer.  Prior to the measurements, the samples were degassed  for 10 h at 100 ～C. UHP  grade N2, H2, CH 4 and CO 2 were  used for measurements. Oil-free  vacuum pumps and oil-free pressure  regulators were  used for measurements to prevent  contamination of the samples during the degassing  process  and isotherm measurement. The total pore volume  was N2 volume adsorbed at STP when P/P 0 was 0.95. The BET surface  area was calculated in the 0.10-0.20 P/P 0 range,  and the isotherm  points chosen to calculate the BET surface  area were subject to the three consistency criteria detailed by Walton and SnurrS2.2. Synthesis  of Cage  1Dehydrated chloroform (150 mL) was added to 1,3,5-tris-(4-formyl-phenyl)triazine  (175.2 mg, 0.445 mmol)  in a beaker at room temperature. Then, a dehydrated  chloroform (70 mL) solution of (R, R)-cyclohexanediamine (87.1 mg, 0.762 mmol) was added.  The resulting  mixture was left at room temperature  for 6 days without stirring and monitored by 1H NMR. Cage  1 was obtained as a light yellow  shining powder by removing the solvent under vacuum  (219 mg, 96.4%).1H NMR  (CDCl 3, 300 MHz,  298K, ppm):  汛 = 8.60 (d, J =  7.5Hz, 24H), 8.31 (s, 12H),  7.78 (d, J = 7.6Hz, 24H), 3.51 (s, 12H), 1.87每1.67 (m, 48H). 13C NMR (CDCl 3, 75 MHz, 298 K, ppm): 汛 = 170.8, 159.8, 139.6, 137.5, 133.0, 128.9, 128.1, 74.2, 32.7, 24.3. HR-MALDI-TOF MS: calcd for C132H120N24: m/z = 2042.02061 [M+H]+; found m/z = 2042.02026 [M+H]+.",comprehensive synthesis
"As typical molecular container compounds, organic molecularc a g e s( O M C s ) 〞 d e f i n e da ss h a p e - p e r s i s t e n t ,t h r e e - d i m e n s i o n a lorganic molecules with permanent cavities〞are attractive as hostmaterials and have found application in host每guest chemistry.1In2009, however, Cooper et al. demonstrated that OMCs can self-assemble into crystalline materi als with permanent void space,2thus showing potential applicatio ns in gas sorption. This new typeof porous material is solution-processable, which sets it apartfrom other porous materials such as zeolites or the well-knownextended network materials ( e.g., metal每organic frameworks3),which sparked increasing interest in OMCs over the past fiveyears.4Cooper,5Mastalerz,6Zhang7and others8have reported avariety of OMCs, and among the resultant porous materials cannow be found examples with high selectivity for the adsorption ofCO2over N 26b,7aor with a high Brunauer每Emmett每Teller (BET)surface area of up to 3758 m2g/C01.6dHowever, it has to beemphasized that, this new area is still far away from being well-explored. The synthesis of large O MCs is still quite challengingand sometimes it is difficult5bto self-assemble these largemolecules into stable porous materials with high surface area,no matter whether crystalline or in an amorphous state.",surface area
"View Article OnlineView Journal | View IssueThis journal is ?The Royal Society of Chemistry 2015 Chem. Commun., 2015, 51, 1976--1979 | 1977M6L4-type coordination cages, whic h have shown interesting appli-cations as ＆＆molecular flasks＊＊.13In addition, the incorporation oftriazine into organic frameworks can enhance CO 2每frameworkinteraction.14Our results demonstrate tha t the electron-deficientcage 1can be obtained synthetically in one single step from readilyaccessible organic building blocks viaimine condensationreaction.15As evidenced by its crystal structure, the cage hasan approximately chiral tetrahedral symmetry with a largepermanent cavity ( B2070 ?3). Furthermore, the desolvatedmaterial consisting of cage 1has a high BET surface area of1181 m2g/C01and showed a high selectivity (28.8) for adsorptionof CO 2over N 2.",surface area
"View Article Online1978 |Chem. Commun., 2015, 51, 1976--1979 This journal is ?The Royal Society of Chemistry 2015Cooper group.5aAdditionally, the volume calculated for thecage amounts to 2073 ?3by the volume of the inscribed sphere,which is also larger than that of CC5 (1356 ?3). In its crystallo-graphic packing, strong CH每 pinteractions between the bridge-head proton atoms of cyclohexane and the aromatic rings werefound, evidenced by a distance of 2.94每2.97 ?. The self-assembly mode observed for cage 1differs somewhat fromthose reported for other [4+6] OMCs, as the cyclohexane moietyof cage 1is able to insert itself into the cavity of an adjacentcage to form a one-dimensional (1D) supramolecular chain(Fig. 2b). These 1D supramolecular chains further self-assemble into a porous molecular packing through p每pstack-ing (Fig. 2c) between the triazine and benzene rings witha distance from 3.66 to 3.86 ?, which is a typical distance forp每pstacking interactions. This packing mode partially blocksthe inherently present pore of cage 1(B2070 ?3) and leads to awinding pore structure in the solid state crystal of cage 1. Thecage 1has a pore volume of 6738 ?3per unit cell with a proberadius of 1.82 ?, or 39.1% of the total volume of the material, asindicated by the orange Connolly surface representation inFig. 2d. From this structure, the cage was calculated17usingthe Poreblazer program to have an accessible surface area of987 m2g/C01.",surface area
"To investigate the permanent porosity of cage 1, a crystallinesample of cage 1was treated for 10 h at 100 1C under highvacuum. Powder X-ray di?raction (PXRD) analysis showed thatcage 1loses its crystallinity during the activation process andchanges into an amorphous state. However, as most of theporosity of cage 1is inherent to its molecular structure ratherthan to solid state packing e?ects, the resultant amorphoussample still features considerable gas uptake properties. Asshown in Fig. 3a, the N2sorption isotherm of desolvated cage 1at 77 K shows a type I isotherm with a type IV character athigher relative pressures. The total pore volume was estimatedto be 0.54 cm3g/C01, and the calculated BET surface area was1181 m2g/C01, which is comparable to that of the largest [4+6]cages reported so far by Cooper5a(CC5, 1333 m2g/C01) andMastalerz6b(1375 m2g/C01). The experimental pore volume andthe BET surface area of cage 1are both larger than thetheoretical values calculated from the single crystal data(0.50 cm3g/C01and 987 m2g/C01, respectively), which presumablyresults from the solvent release process during heat andvacuum treatment of cage 1. In order for the quite voluminousDMSO molecules to be released from the cage cavity, thecyclohexane substituents blocking the path of the DMSO mole-cules have to be moved aside. As a result, the sample loses itscrystallographic order and becomes amorphous (the processappears to be not reversible), but also eliminates the location-obstruction between cages due to cyclohexane insertion and theinherent molecular pores of the cages are re-established. TheH2adsorption isotherm of cage 1(Fig. 3b) shows a 80 cm3g/C01and 58 cm3g/C01H2uptake at 77 K and 87 K under 1 bar,respectively, which also compares well with other [4+6] cages.",surface area
"Based on the IAST model and equimolar CO 2/CH 4conditions,the CO 2/CH 4selectivity is 4.7每3.9 at 0每1.08 bar (Fig. S10, ESI ?). Theisosteric heat of adsorption ( Qst)f o rC O 2, calculated using theClausius每Clapeyron equation, is B18 kJ mol/C01,w h i c hi ss i m i l a rt othe values of some other less-polar cage materials.19I ns u m m a r y ,w eh a v er e p o r t e dan o v e lt r i a z i n e - b a s e d[4+6] cage 1t h a tc a nb ef o r m e di no n e - p o tr e a c t i o n .T h ecage has a chiral tetrahedral symmetry with a large cavity(B2070 ?3). Cage 1can form a porous material with a highBET surface area of 1181 m2g/C01and high selective adsorptionof CO 2over N 2.W i t hc a g e 1being electron-deficient andhaving a defined large cavity, it may be used as a host or＆＆molecular flask＊＊ for electron-r ich guest molecules. Investiga-tions of the supramolecular chemistry of cage 1are currentlyunderway in our lab.",surface area
"1976 |Chem. Commun., 2015, 51, 1976--1979 This journal is ?The Royal Society of Chemistry 2015Cite this: Chem. Commun., 2015,51,1 9 7 6Targeted synthesis of a large triazine-based [4+6]organic molecular cage: structure, porosity andgas separation ?Huimin Ding, ?aYihui Yang, ?aBijian Li,aFeng Pan,aGuozhu Zhu,aMatthias Zeller,cDaqiang Yuan*band Cheng Wang*aHerein, we report the targeted synthesis and solid state assembly ofa novel triazine-based [4+6] organic molecular cage. The tetra-hedral cage features a large cavity ( B2070 ?3), and after desolvation, theresultant material exhibits a high Br unauer每Emmett每Teller surface areaof 1181 m2g/C01and also features selective adsorption of CO 2over N 2.",this paper's author
