content,category
"IntroductionPorous molecular materials, such as porous organic cages(POCs), are a sub-class of porous materials that lack the3-dimensional extended bonding found in networks such aszeolites, metal 每organic frameworks (MOFs), and covalentorganic frameworks (COFs). POCs are molecules that haveintrinsic porosity as a result of an internal cavity that can beaccessed through multiple windows.1,2In the solid state, thesemolecules can pack together to a ?ord a 1-, 2-, or 3-D porenetwork that passes through the internal cage cavities; the intrin-sic porosity of the cage may be augmented by extrinsic voidslocated between the cages. POCs have shown potential in appli-cations such as chemical separations,3sensing4,5and as porousliquids.6Because of their molecular nature, one can control bothcrystal phase, the degree of crystallinity and, hence, the porosityby post-synthetic processing.7每12This can be done by varying thesolvent, the crystallisation temperature, the mixing rate, or bymodifying the desolvation process. For example, cages can bedirected to form 3-D interconnected pore networks simply bychanging the crystallisation solvent,13or made intentionallyamorphous using techniques such as freeze-drying.7Conventionally, porous materials 〞both molecular solidsand frameworks 〞tend to be synthesised from highly sym-metric precursors to generate crystalline structures. The use ofbuilding blocks with reduced symmetry to construct suchmaterials results in a larger number of possible structuralisomers, and thus a greater phase space of structural possibili-ties. This makes purposeful design based on chemical knowl-edge much more challenging than for more symmetrical pre-cursors. Mukherjee et al. have recently observed a self-selectionprocess between multiple structural isomers when an unsym-metrical ditopic building block was employed for the synthesisof imine cages,14but such processes are very hard to antici-pate. In the area of frameworks, Zhang et al. showed that itwas possible to obtain COFs with heterogeneous pore struc-tures by using a C2vtritopic building block.15These studiessuggest that introducing asymmetric building blocks, or redu-cing the overall symmetry of the building blocks, has thepotential to create increased structural complexity and henceaccess to novel properties. For porous molecular materials,reduced symmetry has the potential to increase porosity of thematerials, by frustrating e ?cient packing, or to dramaticallyimprove solubility.?Electronic supplementary information (ESI) available: Full high throughputsynthetic and experimental details, gas sorption, TGA, and NMR data, togetherwith computational methodology details, structural and electronic properties forall 36 isomers, structures of all of the 36 DFT optimised isomers, and the amor-phous structure model. See DOI: 10.1039/c8nr06868b?These authors have contributed equally.aDepartment of Chemistry, Imperial College London, South Kensington, London,SW7 2AZ, UK. E-mail: k.jelfs@imperial.ac.ukbDepartment of Chemistry and Materials Innovation Factory, University of Liverpool,51 Oxford Street, Liverpool, L7 3NY, UKThis journal is ? The Royal Society of Chemistry 2018 Nanoscale ,2 0 1 8 , 10, 22381 每22388 | 22381Published on 20 November 2018. Downloaded by Zhejiang University on 12/3/2022 4:24:21 AM.",affiliation
"?Department of Chemistry, Imperial College London, South Kensington, London, SW7 2AZ, United Kingdom  ?Department of Chemistry and Materials Innovatio n Factory, University of Liverpool, 51 Oxford Street, Liverpool, L7 3NY, United Kingdom  ∫E.B. and R.L.G. contributed equally.",affiliation
"Diffusion coefficients were calculated from signal intensities using the Ske jskal -Tanner equation1: ??= ??0????2??2??2(????3?)??  Where I is the signal intensity, I 0 is the signal intensity at a gradient strength of zero, g is the gradient strength, and D is the diffusion coefficient (D = m2/s). Solvodynamic radii, R S (nm), of solution -phase species were calculated from the Stokes -Einstein equation assuming molecules have a spherical geometry:  ??= ????6????????    S5  2. Synthesis and characterisation of cage precursors  2.1. Synthesis of trialdehyde precursor  Trialdehyde  1 was synthesised according to the following scheme , with the individual reaction steps described below :   5-Bromoisophthalaldehyde , S1 To a round -bottomed flask , equipped with stirrer bar, was added isophthalaldehyde (50.00 g, 372.7 mmol, 1.0 eq.) followed by concentrated sulphuric acid (200 mL). The resulting mixture was heated to 65 ～C, before direct heating was removed for the portionwise addition of N-bromosu ccinimide (72.98 g, 410.1 mmol, 1.1 eq.) over 20 min. After complete addition, heating was resumed and the reaction was stirred at 65 ～C for 19 hours. The reaction was allowed to cool to RT, and was poured into ice (~1 L) and stirred. The mixture was left for 1 hour before the resulting precipitate was collected by filtration. The collected solid was dissolved in DCM (1  L) and washed with water (2 x 200 mL). The organic layer was dried (MgSO 4) and hexane (500  mL) added, before the DCM was carefully removed in-vauo  to afford a beige precipitate which was collected by filtration. The resulting solid was washed with a 1:2 methanol/hexane mixture (300 mL) and dried in vacuo to afford 5 -bromoisophthalaldehyde  S1 which was used without further purification (43.14 g, 202.5 mmol, 54%).",comprehensive synthesis
"1H NMR  (400 MHz, CDCl 3) 汛H 10.06 (2H, s), 8.30 (1H, t, J = 1.4 Hz), 8.26 (2H, d, J = 1.4 Hz). Data in accordance with literature values .2    S6  5-((4-Formylphenyl)ethynyl)isophthalaldehyde , 1 To an oven dried round -bottomed flask equipped with stirrer bar, was added 5 -bromoisophthalaldehyde S1 (1.17 g, 5.49 mmol, 1.0 eq.), 4 -ethynylbenzaldehyde (1.0 0 g, 7.68 mmol, 1.4 eq.) and copper iodide (104 mg, 0.55 mmol, 0.1 eq.) before the flask was evacuated for 10 min and refilled with N2. Triethylamine (40 mL) was added, and the solution d egassed ( N2 bubbling, 15 min ) prior to the addition of Pd(PPh 3)4 (317 mg, 0.2 7 mmol, 0.05 eq.). The resulting suspension was stirred at reflux  for 18 h before being allowed to cool to room temperature. The rea ction was diluted with water (200 mL) and the aqueous layer extracted with DCM (3  ℅ 200 mL). The combined organic layers were dried (MgSO 4), passed through a small Celite plug and concentrated in vacuo . Purification via column chromatography (0 每50% EtOAc in hexane) afforded the desired product 1 as a yellow solid (865 mg, 3.29 mmol, 60%).",comprehensive synthesis
"S7    Figure S1: 1H NMR (CDCl 3; upper) and 13C NMR (CDCl 3; lower) for  5-((4-formylphenyl)ethynyl)isophthalaldehyde , 1  S8  2.2. Synthesis of triamine precursor s  2,2',2'' -((2,4,6 -Trimethylbenzene -1,3,5 -triyl)tris(methylene))tris(isoindoline -1,3-dione) , S2 A modification of the procedure of Grawe et al . was used for this reaction.3 To a solution of  1,3,5 -tris(bromomethyl) -2,4,6 -trimethylbenzene (20 g, 50.13 mmol, 1.0 eq.) and 18 -crown -6 (3.97 g, 15.03 mmol, 0.3 eq.) i n toluene (640 mL) was added potassium phthalamide (33.42 g, 180.47 mmol, 3.6 eq.). The mixture was heated at 100 ～C under N 2 for 24 h before being allowed to cool to room temperature. The mixture was concentrated in vacuo  and the resulting solid suspended in water (400 mL) and collected by filtration. The resulting solid was further washed with water (2 ℅ 400 mL) and MeOH (400 mL) before being dried in vacuo  to afford the desired product S2 as a colourless solid which was used without further purification (30.45 g, quant).",comprehensive synthesis
"1H NMR  (500 MHz, CDCl 3) 汛H 7.78 (6H, dd, J = 5.5, 3.0 Hz), 7.67 (6H, dd, J = 5.4, 3.1 Hz), 4.95 (6H, s), 2.50 (9H, s); 13C NMR  (101 MHz, CDCl 3) 汛C 168.3, 138.7, 134.0, 132.1, 130.3, 123.4, 38.7, 17.5. Dat a in accordance with literature values.4   (2,4,6 -Trimethylbenzene -1,3,5 -triyl)trimethanamine , 15 A modification of the procedure of Grawe et al . was used for this  reaction.3 To a suspension of  2,2',2'' -((2,4,6 -trimethylbenzene -1,3,5 -triyl)tris(methylene))tris(isoindoline -1,3-dione) S2 (37.43 g, 62.63 mmol, 1.0 eq.) in a mixture of toluene (550 mL) and EtOH (1100 mL) was added hydrazine  hydrate in a single portion (23.4 mL, 50 wt% solution in water, 375.79 mmol, 6.0 eq.). The resulting mixture was heated at 90 ～C for 5 days, at which point a large amount of solid had precipitated, before being allowed to cool to room temperature. The rea ction mixture was concentrated in vacuo  (not to dryness) and partitioned between an aqueous KOH solution (200 mL, 40 wt%) and CHCl 3 (500 mL). The aqueous layer was further extracted with CHCl 3 (2 ℅ 300 mL) before the combined organic layers were dried (Na 2SO4) and concentrated in vacuo  to afford the desired triamine 15 as a pale yellow solid which was used without further purification (12.20 g, 58.87 mmol, 94%).",comprehensive synthesis
"S9  1,3,5 -Tris(bromomethyl) -2,4,6 -triethylbenzene , S3 The procedure of Vacca et al . was used for this reaction.5 To a mixture of paraformaldehyde (16.7 g, 556.11 mmol, 10.5 eq.) and triethylbenzene (10 mL, 53.12 mmol, 1.0 eq.) in a sol ution of HBr in AcOH (100 mL, 30 wt%) was added zinc bromide (19.7 g, 87.47 mmol, 1.65 eq.) portionwise at room temperature. After complete addition, the reaction was heated to 90 ～C under N 2 for 22 h before being allowed to cool to room temperature. The p recipitated solid was collected by filtration, washed with water (3 ℅ 400 mL) and dried in vacuo  to afford the desired product S3 as an off -white solid (19.23 g, 43.60 mmol, 82%).",comprehensive synthesis
"1H NMR  (500 MHz, CDCl 3) 汛H 4.58 (6H, s), 2.94 (6H, q, J = 7.6 Hz), 1.34 (9H,  t, J = 7.6 Hz); 13C NMR  (126 MHz, CDCl 3) 汛C 145.2, 132.8, 28.7, 22.9, 15.8. Data in accordance with literature values.5   2,2',2'' -((2,4,6 -Triethylbenzene -1,3,5 -triyl)tris(methylene))tris(isoindoline -1,3-dione), S4  A modification of the procedure of Grawe et al . was used for this reaction.3 To a solution of 1,3,5 -tris(bromomethyl) -2,4,6 -triethylbenzene S3 (19.2 g, 43.53 mmol, 1.0 eq.) and 18 -crown -6 (3.45 g, 13.06 mmol, 0.3 eq.) in toluene (555 mL) was added potassium phthalamide (29.02 g, 156.72 mmol, 3.6 eq.). The mixture was heated at 100 ～C under N 2 for 20 h before being allowed to cool to room temperature. The mixture was concentrated in vacuo  and the resulting solid suspended in water (400 mL) and collec ted by filtration. The resulting solid was further washed with water (2 ℅ 400 mL) and MeOH (400 mL) before being dried in vacuo  to afford the desired product S4 as a colourless solid which was used without further purification (26.79 g, 41.88 mmol, 96%).",comprehensive synthesis
"1H NMR  (500 MHz, CDCl 3) 汛H 7.80 (6H, dd, J = 5.5, 3.0 Hz), 7.68 (6H, dd, J = 5.4, 3.1 Hz), 4.94 (6H, s), 3.10 (6H, q, J = 7.5 Hz), 0.97 (9H, t, J = 7.5 Hz); 13C NMR  (101 MHz, CDCl 3) 汛C 168.4, 145.7, 134.0, 132.2, 129.6, 123.4, 37.6, 23.5, 15.9 . Data in accordance to literature values.5   S10  (2,4,6 -Triethylbenzene -1,3,5 -triyl)trimethanamine , 16 A modification of the procedure of Grawe et al . was used for this  reaction.3 To a suspension of 2,2',2'' -((2,4,6 -triethylbenzene -1,3,5 -triyl)tris(methylene))tris(isoindoline -1,3-dione) S4 (26.79 g, 41.88 mmol, 1.0 eq.) in a  mixture of toluene (330 mL) and EtOH (670 mL) was added hydrazine hydrate in a single portion (15.6 mL, 50 wt% solution in water, 251.27 mmol, 6.0 eq.). The resulting mixture was heated at 90 ～C for 44 h, at which point a large amount of solid had precipi tated, before being allowed to cool to room temperature. The reaction mixture was concentrated in vacuo  (not to dryness) and partitioned between an aqueous KOH solution (150 mL, 40 wt%) and CHCl 3 (400 mL). The aqueous layer was further extracted with CHCl 3 (2 ℅ 200 mL) before the combined organic layers were dried (Na 2SO4) and concentrated in vacuo  to afford the desired triamine 16 as a pale yellow solid which was used without further purification (9.34 g, 37.45 mmol, 89%).",comprehensive synthesis
"S20  4. Scale -up and characterisation of unsymmetrical  cage  Method A: A solution of 5 -((4-formylphenyl)ethynyl) -isophthalaldehyde 1 (1.0 g, 3.81 mmol, 4.0 eq.) and (1 R,2R)-cyclohexane -1,2-diamine ( 0.65  g, 5.72  mmol, 6.0 eq.) in DCM (1.23  L) was stirred at room temperature for 5 days before the addition of hexane (500 mL). The DCM was removed in vacuo  and the pale yellow solid collected by filtration and dried in vacuo  to afford the cage product as a pale ye llow solid ( 1.4 g, 0.92 mmol, 96% mass recovery , 91% purity by HPLC ).",comprehensive synthesis
