content,category
"1Department of Chemistry, Zhejiang University, Hangzhou 310027, PR China. 2Key Laboratory of Excited-State Materials of Zhejiang Province, Zhejiang University, Hangzhou 310027, PR China. 3Hangzhou Institute of Advanced Studies, Zhejiang Normal University, Hangzhou 311231, PR China. 4College of Chemistry and Chemical Engineering, Xiamen University, Xiamen 361005, PR China. 5ZJU-Hangzhou Global Scientific and Technological Innovation Center, Hangzhou 310027, PR China. 6These authors contributed equally: Ye Lei, Zhaoyong Li. *Email: Andrewsue@xmu.edu.cn ; ljwang@zju.edu.cn ; fhuang@zju.edu.cn ; lihao2015@zju.edu.cn   Supplementary Information     S2   Table of Content  Supplementary Methods  1. Materials and general methods S3 2. Synthetic procedures S3每S7 3. Characterization S7每S20 4. Investigations of the self-assembly process S20每S28 5. Theoretical calculations S28每S29 Supplementary References S29   S3   Supplementary Methods 1. Materials and general methods All reagents and solvents were purchased from commercial sources and used without further purification. Nuclear magnetic resonance (NMR) spectra were recorded at ambient temperature using Bruker AVANCE III 400/500  or Agilent DD2 600 spectrometers, with working frequencies of 400/500/600 and 100/125/150 for 1H and 13C respectively. Chemical shifts are reported in ppm relative to the residual internal non-deuterated solvent signals (for proton NMR, D 2O: 汛 = 4.70 ppm, CD 3SOCD 3: 汛 = 2.50 ppm). High-resolution mass spectra (HRMS) were recorded on a Fourier transform ion cyclotron resonance mass spectrometry (FT-ICR MS).  CD spectra were recorded on a Circular Dichroism Spectrometer (Chirascan V100, Applied Photophysics Ltd).",affiliation
"ResultsSelf-assembly of the trefoil knot . A dicationic tetraaldehydeprecursor 12+﹞2Br每and (1 S,2S)-(+)-1,2-diaminocyclohexane((SS)-CHDA) were combined (Fig. 1A) in a 1:2 ratio in H 2O(1 mL). Here, H 2O was employed instead of D 2O, in order toavoid deuteration. After the mixture was heated at 80 ～C for 12 h,the solution was cooled down to room temperature. CD 3SOCD 3(0.33 mL) was then added to the aqueous solution in order toperform1H NMR spectroscopic experiments. Both1H NMRspectrum (Fig. 2C) and ESI-HRMS (Supplementary Fig. S14)were recorded. ESI-HRMS reveals that a product, namely S-26+,containing three equivalents of 12+and six equivalents of ( SS)-CHDA, was obtained as the major product. Two predominantpeaks corresponding to [ 2每H]5+and [ 2+Br]5+were observedin the mass spectrum (Supplementary Fig. S14). The1H NMRspectrum shows a set of sharp resonances (Fig. 2C), indicatingthat the structure of S-26+is highly symmetrical. The assign-ments were con ?rmed by two-dimensional NMR spectroscopy(Supplementary Figs. S6 每S13). The resonance corresponding tothe proton fin the biphenyl protons undergoes a signi ?cantup?eld shift of around 每2.4 ppm compared to the correspondingresonance in the precursor 12+(Fig. 2B). This result indicatesthat the biphenyl unit is buried deeply within the framework of S-26+and therefore experiences a shielded magnetic environment.",comprehensive synthesis
"MethodsSelf-assembly of S-26+﹞6Br每. A 1:2 mixture of 12+﹞2Br每(1.5 mg, 0.002 mmol) and(1S,2S)-(+)-1,2-diaminocyclohexane (0.46 mg, 0.004 mmol) was dissolved in D 2O(0.6 mL). The corresponding reaction mixture was heated at 80 ～C for 12 h. S-26+was self-assembled as the only observable product in the corresponding1H NMRspectrum, without further manipulation. The attempts to isolate the trefoil knot S-26+from its aqueous solution via counterion exchange proved unsuccessful,probably because imine bonds underwent degradation during these processes. Wealso tried to ?x the architecture of the trefoil knot by means of imine reduction.",comprehensive synthesis
"Synthesis of S-34+﹞4Br每.A1 : 2m i x t u r eo f 12+﹞2PF 6每(30 mg, 0.034 mmol) and(1S,2S)-(+)-1,2-diaminocyclohexane (7.8 mg, 0.068 mmol) was dissolved in CH 3CN(18 mL). The corresponding reaction mixture was heated at 70 ～C for 12 h. Aftercooling down the reaction solution to room temperature, tetrabutylammoniumbromide (TBA+﹞Br每) (100 mg) was then added to the solution, after which a whitesolid was collected by ?ltration and washed with CH 2Cl2three times, yielding S-34+﹞4Br每(30 mg, 47%) as a white solid. It is noteworthy that raising the concentra-tions of the precursors namely 12+﹞2PF 6每and (1 S,2S)-(+)-1,2-diaminocyclohexanewould lead to the formation of oligomeric and polymeric byproducts.",comprehensive synthesis
"2. Synthetic procedures The precursor S1 was synthesized according to the procedure from the literature1. The procedure  is decribed as follows. 5-bromoisophthalaldehyde (3.00 g, 14.08 mmol) and pyridine-4-boronic acid (2.08 g, 16.90 mmol) were dissolved in a mixture of THF (180 mL) and 2 M aqueous potassium carbonate (42.2 mL, 84.5 mmol).The mixture was then degassed (N 2 bubbling, 30 min) before the addition of Pd(PPh 3)4 (325.2 mg, 0.28 mmol). The reaction was heated at 80 ～C for 24 h. After cooling down the reaction solution to room temperature, the solvent was removed in vacuo. Purification via column chromatography (5:1 EtOAc/hexane) afforded the desired product S1 as a white solid (1.51g, 7.12 mmol, 50%).",comprehensive synthesis
"S4    Supplementary Scheme 1. Synthesis of 12+﹞2Br每. 1-(Bromomethyl)-4-[4-(bromomethyl)phenyl]benzene (100 mg, 0.29 mmol) and S1 (253mg, 1.2 mmol)  were dissolved in DMF (15 mL). The corresponding reaction mixture was stirred at 80 ～C overnight. After cooling down the reaction solution to room temperature, the yellow precipitate was collected by filtration and washed with CH 2Cl2 for three times, yielding 12+﹞2Br每 (141 mg, 64%) as a yellow solid.",comprehensive synthesis
"S5    Supplementary Scheme 2. Synthesis of S-26+﹞6Br每. A 1:2 mixture of 12+﹞2Br每 (1.5 mg, 0.002 mmol) and (1 S,2S)-(+)-1,2-diaminocyclohexane (0.46 mg, 0.004 mmol) was dissolved in D 2O (0.6 mL). The corresponding reaction mixtures were stirred at 80 ～C for 12 h. After cooling down the reaction solution to room temperature, 1H NMR (Supplementary Figure 24a) and MS (Supplementary Figure 14) spectra were recorded, indicating the success of self-assembly of the trefoil knot S-26+.",comprehensive synthesis
"Supplementary Scheme 3. Synthesis of S-34+﹞4Br每. A 1:2 mixture of 12+﹞2PF6每 (30 mg, 0.034 mmol) and (1 S,2S)-(+)-1,2-diaminocyclohexane (7.8 mg, 0.068 mmol) was dissolved in CH 3CN (18 mL). The corresponding reaction mixtures were stirred at 70 ～C for 12 h. After cooling down the reaction solution to room temperature, tetrabutylammonium bromide (TBA+﹞Br每) (100 mg) was then added into the solution, after which a white solid was collected by filtration and washed with CH 2Cl2 for three times, yielding the major compound S-34+﹞4Br每 (30 mg, 47%). It is noteworthy that raising the concentrations of the precursors namely 12+﹞2PF6每 and (1S,2S)-(+)-1,2-diaminocyclohexane would lead to the formation of oligomeric and polymeric byproducts. S-34+﹞4Br每 was characterized by NMR spectroscopy (Supplementary Figures 17每21) and mass spectrum (Supplementary Figure 22). 1H NMR (600 MHz, CD3SOCD 3, 298 K) 汛 (ppm): 9.24 (d, J=6.0 Hz, 8H), 8.71 (s, 4H), 8.51 (d, J=6.0 Hz, 8H), 8.33 (s, 4H), 8.21 (s, 4H), 8.16 (s, 4H), 8.09 (s, 4H), 7.70 (d,  J=12.0 Hz, 8H), 7.59 (d, J=12.0 Hz, 8H), 5.86-5.92 (m, 8H), 3.59-3.69 (m, 4H), 3.08-3.18 (m, 4H), 1.40-2.00 (m, 32H). 13C NMR (100 MHz, CD 3SOCD 3, 298 K) 汛 (ppm): 161.9, 158.7, 154.5, 145.0,  S7   140.2, 138.0, 137.8, 134.9, 134.1, 131.2, 130.9, 129.3, 127.6, 125.9, 125.7, 75.3, 71.4, 62.2, 32.7, 31.6, 24.2, 24.1. HRMS:  For S-34+﹞4Br每, m/z calculated for C 104H100N124+ ([3]4+): 379.4551; found: 379.4520; m/z calculated for C 104H99N123+ ([3?H]3+): 505.6044; found: 505.6017.",comprehensive synthesis
"ARTICLEA trefoil knot self-templated through imination inwaterYe Lei1,6, Zhaoyong Li1,2,6, Guangcheng Wu1, Lijie Zhang3, Lu Tong1, Tianyi Tong4, Qiong Chen1,Lingxiang Wang1, Chenqi Ge1, Yuxi Wei1, Yuanjiang Pan1, Andrew C.-H. Sue4?, Linjun Wang1,2?,Feihe Huang1,5?& Hao Li1,5?The preparation of topologically nontrivial molecules is often assisted by covalent, supra-molecular or coordinative templates that provide spatial pre-organization for all components.Herein, we report a trefoil knot that can be self-assembled ef ?ciently in water withoutinvolving additional templates. The direct condensation of three equivalents of a tetraformylprecursor and six equivalents of a chiral diamine produces successfully a [3 +6] trefoil knotwhose intrinsic handedness is dictated by the stereochemical con ?guration of the diaminelinkers. Contrary to the conventional wisdom that imine condensation is not amenable to usein water, the multivalent cooperativity between all the imine bonds within the frameworkmakes this trefoil knot robust in the aqueous environment. Furthermore, the presence ofwater is proven to be essential for the trefoil knot formation. A topologically trivial macro-cycle composed of two tetraformyl and four diamino building blocks is obtained when asimilar reaction is performed in organic media, indicating that hydrophobic effect is a majordriving force behind the scene.https://doi.org/10.1038/s41467-022-31289-1 OPEN1Department of Chemistry, Zhejiang University, Hangzhou 310027, PR China.2Key Laboratory of Excited-State Materials of Zhejiang Province, ZhejiangUniversity, Hangzhou 310027, PR China.3Hangzhou Institute of Advanced Studies, Zhejiang Normal University, Hangzhou 311231, PR China.4College ofChemistry and Chemical Engineering, Xiamen University, Xiamen 361005, PR China.5ZJU-Hangzhou Global Scienti ?c and Technological Innovation Center,Hangzhou 310027, PR China.6These authors contributed equally: Ye Lei, Zhaoyong Li.?email: Andrewsue@xmu.edu.cn ;ljwang@zju.edu.cn ;fhuang@zju.",this paper's author
"21922108 to H.L.; No. 21922305 to L.W.; No. 21927810 to Y.P.). H.L. and F.H. also wantto thank the support from the Starry Night Science Fund of Zhejiang UniversityShanghai Institute for Advanced Study (SN-ZJU-SIAS-006). L.W. also acknowledgessupport from the High-Performance Computing Center in the Department of Chemistry,Zhejiang University.",this paper's author
