content,category
"Characterization methods, experimental details,theoreti-calcalculation details,andcharacterization ofcom-pounds(PDF)←AUTHORINFORMATIONCorresponding AuthorShaodong Zhang ?SchoolofChemistry andChemicalEngineering, Shanghai JiaoTongUniversity, Shanghai200240,China; orcid.org/0000-0001-7923-8457;Email:sdzhang@sjtu.edu.cnAuthorsJiaolongChen ?SchoolofChemistry andChemicalEngineering, Shanghai JiaoTongUniversity, Shanghai200240,ChinaZhenyuYang ?SchoolofChemistry andChemicalEngineering, Shanghai JiaoTongUniversity, Shanghai200240,ChinaGucheng Zhu ?KeyLaboratory ofArtificial Structures andQuantum Control(Ministry ofEducation), ShenyangNational Laboratory forMaterials Science,SchoolofPhysicsandAstronomy, Shanghai JiaoTongUniversity, Shanghai200240,ChinaEnguangFu?SchoolofChemistry andChemical Engineering,Shanghai JiaoTongUniversity, Shanghai 200240,ChinaPanLi?SchoolofChemistry andChemical Engineering,Shanghai JiaoTongUniversity, Shanghai 200240,ChinaJACSAu pubs.acs.org/jacsau Articlehttps://doi.org/10.1021/jacsau.2c00225JACSAu2022,2,1661?16681666FangyiChen ?SchoolofChemistry andChemicalEngineering, Shanghai JiaoTongUniversity, Shanghai200240,ChinaChunyang Yu?SchoolofChemistry andChemicalEngineering, Shanghai JiaoTongUniversity, Shanghai200240,China; orcid.org/0000-0003-1175-8362ShiyongWang ?KeyLaboratory ofArtificial Structures andQuantum Control(Ministry ofEducation), ShenyangNational Laboratory forMaterials Science,SchoolofPhysicsandAstronomy, Shanghai JiaoTongUniversity, Shanghai200240,China; orcid.org/0000-0001-6603-9926Complete contactinformation isavailable at:https://pubs.acs.org/10.1021/jacsau.2c00225NotesTheauthorsdeclarenocompeting financialinterest.",affiliation
"[a] School of Chemistry and Chemical Engineering, Shanghai Jiao Tong University, 800 Dongchuan Road, Shanghai 200240, China[b] Key Laboratory of Artificial Structures and Quantum Control (Ministry of Education), Shenyang National Laboratory for Materials Science, School of Physics and Astronomy, Shanghai Jiao Tong University, 800 Dongchuan Road, Shanghai 200240, China*Email: sdzhang@sjtu.edu.cnS2Table of Contents1. Materials...................................................................................................................32. Techniques................................................................................................................32.1 Nuclear magnetic resonance (NMR).................................................................32.2 Matrix-assisted laser desorption and ionization time-of-flight mass spectrometry (MALDI-TOF MS) ...........................................................................32.3 Single crystal X-ray diffraction (SC-XRD) ......................................................42.4 Circular dichroism (CD) ...................................................................................42.5 Chiral high performance liquid chromatography (Chiral HPLC) .....................42.6 Second harmonic generation measurement (SHG) ...........................................43. Synthesis....................................................................................................................53.1 Synthetic route of hexa-aldehyde precursor 1...................................................53.2 Synthetic route of racemic triamine rac-2 and hetero-2...................................83.3 Synthetic route of enantiopure triamine (3S)-TRPN and (3R)-TRPN ............103.4 Synthesis of diphane rac-3..............................................................................133.5 Synthesis of chiral diphane (3S,3S)/(3R,3R)-3...............................................143.6 Synthetic route of meso diphane (3R,3S)-3.....................................................164. Diastereomers calculations....................................................................................185. Theoretical calculations.........................................................................................206. Chiral HPLC characterizations............................................................................217. X-ray crystallography............................................................................................228. Second harmonic generation.................................................................................279. Mass spectra...........................................................................................................3010. NMR spectra.........................................................................................................3411. References.............................................................................................................55S31. MaterialsGeneral reagents and solvents were purchased from commercial suppliers and used without any purification, unless otherwise noted. Dimethyl terephthalate, phenyl lithium, aniline, tetrakis(triphenylphosphine)palladium, scandium(III) trifluorometha-nesulfonate and phenol were purchased from Beijing J&K Chemical Co. Ltd. 2-Formylbenzeneboronic acid, (rac)-alaninol, (S)-alaninol, (R)-alaninol and p-toluene sulfonyl chloride were purchased from Beijing InnoChem Co. Ltd. Sodium triacetoxyborohydride was purchased from Shanghai Adamas-Beta Co. Ltd. Inorganic salts including sodium nitrite, potassium carbonate and potassium hydroxide were purchased from Greagent, China. Hexa-aldehyde precursor 1 was synthesized according to our published procedure.1 Racemic triamine rac-2, hetero-2 and enantiopure (S,S,S)-tris-(2-aminopropyl)amine ((3S)-TRPN), (R,R,R)-tris-(2-aminopropyl)amine ((3R)-TRPN) were prepared according to literatures.2-3 Tetrahydrofuran was dried over sodium/benzophenone and distilled under nitrogen atmosphere before use.",affiliation
"Crystallographic datahavebeendeposited withtheCambridgeCrystallographic DataCentreasentriesCCDC2144436,2144437 and2144438←ACKNOWLEDGMENTSTheauthorsgratefully acknowledge financial supportfromScienceandTechnology Commission ofShanghai Municipal-ity(21JC1401700) andNational NaturalScienceFoundationofChina(21890733 and22071153). Weappreciate theassistance fromDr.HangWang(MALDI-TOF MS)andLing-LingLi(SC-XRD) attheInstrumental Analysis CentreofSJTU.WealsothankProf.YangTianandDr.ZhichaoLiufromEastChinaNormalUniversity, Mr.Zhengfei LiufromBeijingNormalUniversity forthehelpofnonlinear opticalexperiments.",CCDC
"As shown in Figure S8, satisfactory separation of triamine compounds could be obtained on CHIRALPAL column IA under optimized mobile phase (see Section 2 for details). Four major peaks were observed in the elution curve of the reaction mixture of the ring-opening amination of (rac)-2a, whose retention times locate around 21.5 min (12.7%), 23.3 min (12.5%), 26.1 min (37.7%), 32.9 min (37.1%). The experimental results are consistent with the ideal product distribution, where homochiral (3R)-2b and (3S)-2b each account for 1/8, and heterochiral (2R1S)-2b and (1R2S)-2b each account for 3/8. After purification, racemic triamine compounds rac-2b and hetero-2b were successfully separated, corresponding to two minor peaks at 21.1 min and 22.9 min as well as two major peaks at 26.0 min and 32.9 min, respectively. Through the further comparison experiments, rac-2b was definitely determined to be the racemic mixture of enantiopure (3R)-2b and (3S)-2b. Combining chiral HPLC chromatograms and 1H NMR spectrum, it could be concluded that the hetero-2 is a racemic mixture consisting of (2R1S)-2b and (1R2S)-2b.S227. X-ray crystallographySingle crystals of diphane (3S,3S)-3 suitable for X-ray crystallography were obtained by slow evaporation of its solution in mixed solvents of acetonitrile and tetrahydrofuran (v:v = 1:4). CCDC deposition number 2144438.",CCDC
"Table S1. Crystal data and structure refinement for (3S,3S)-3Identification code (3S,3S)-3Empirical formula   C104H106N8Formula weight 1467.96Temperature 173.15 KWavelength 1.34139 ?Crystal system, space group Trigonal, 3 121??Unit cell dimensions a = 21.7481(12) ?, 汐 = 90～b = 21.7481(12) ?, 汕 = 90～c = 41.877(3) ?, 污 = 120～Volume 17153(2) ?3Z, Calculated density  6, 0.853 Mg/cm3Absorption coefficient 0.243 mm-1F (000) 4716.0Crystal size 0.06 ℅ 0.06 ℅ 0.05 mm3Theta range for data collection 2.754 to 55.067～Limiting indices  -26 <= h <= 23, -26 <= k <= 26, -50 <= l <= 51Reflections collected / unique 202345 / 21845 [Rint = 0.0554]Completeness to theta = 53.594～ 99.8 %Absorption correction    Semi-empirical from equivalentsMax and min. transmission 0.7508 and 0.4598Refinement method Full-matrix least-squares on F2Data / restraints / parameters 21845 / 0 / 1033Goodness-of-fit on F2   1.055Final R indices [I>2 sigma (I)]  R1 = 0.0326, wR2 = 0.0947R indices (all data) R1 = 0.0344, wR2 = 0.0962Extinction coefficient n/aLargest diff. peak and hole 0.372 and -0.17 e.A-3Flack parameter 0.26(6)S23Single crystals of (3R,3R)-3 suitable for X-ray crystallography were obtained by slow evaporation of its solution in mixed solvents of acetonitrile and tetrahydrofuran (v:v = 1:4). CCDC deposition number 2144436.",CCDC
"Table S2. Crystal data and structure refinement for (3R,3R)-3Identification code (3R,3R)-3Empirical formula   C104H106N8Formula weight 1467.96Temperature 173.15 KWavelength 1.34139 ?Crystal system, space group Trigonal, 3 221??Unit cell dimensions a = 21.7577(7) ?, 汐 = 90～b = 21.7577(7) ?, 汕 = 90～c = 41.8981(16) ?, 污 = 120～Volume 17177.1(13) ?3Z, Calculated density  6, 0.947 g/cm3Absorption coefficient 0.277 mm-1F (000) 5262Crystal size 0.09 ℅ 0.09 ℅ 0.08 mm3Theta range for data collection 3.427 to 54.948～Limiting indices  -20 <= h <= 23, -26 <= k <= 23, -48 <= l <= 51Reflections collected / unique 66543 / 20998 [Rint = 0.0424]Completeness to theta = 53.594～ 99.6 %Absorption correction    Semi-empirical from equivalentsMax and min. transmission 0.7508 and 0.6217Refinement method Full-matrix least-squares on F2Data / restraints / parameters 20998 / 71 / 1138Goodness-of-fit on F2   1.050Final R indices [I>2 sigma (I)]  R1 = 0.0576, wR2 = 0.1575R indices (all data) R1 = 0.0760, wR2 = 0.1754Extinction coefficient n/aLargest diff. peak and hole 0.362 and -0.363 e.A-3Flack parameter 0.26(16)S24Single crystals of (3R,3S)-3 suitable for X-ray crystallography were obtained by slow evaporation of its solution in mixed solvents of methanol and chloroform (v:v = 1:4). CCDC deposition number 2144437.",CCDC
"SynthesisofDiphane Rac-3,(3S,3S)-3,(3R,3R)-3,and(3R,3S)-3Rac-3.A0.005mol/Lsolutionofhexa-aldehyde molecule 1(200.0mg,0.168mmol,1equiv)in33.7mLCHCl3waschargedintoa250mLflask.Thena0.005mol/Lsolutionofrac-2(63.5mg,0.336mmol,2.0equiv)in67.5mLCHCl3wasaddeddropwise, followedbyadditionofSc(OTf)3(50mg,0.10mmol,0.6equiv)directly.Thereactionmixturewasstirredat25～Cfor24h.Then,theproductwasreducedbyNaBH(OAc) 3(0.54g,2.53mmol,15.0equiv)overnight,theexcessreductant NaBH(OAc)3wasfilteredoffundervacuum,andthesolutionwasquenched withNaOHsolution(2.0M,120mL),extracted withCHCl3(3℅50mL),driedoveranhydrous Na2SO4,andconcentrated togivethecrudeproduct. Purification byflashcolumnchromatography (DCM/MeOH/NH 3(aq)=150:2:3,v/v/v)affordedthediphanerac-3(30mg,12%)asawhitesolid.HR-MS(MALDI): beforereduction: C104H95N8+[M+H]+,calcd:1456.771;Found:1456.587; afterreduction: C104H107N8+[M+H]+,calcd:1468.865; Found:1468.714.",comprehensive synthesis
"(3S,3S)-3. A0.005mol/Lsolutionofhexa-aldehyde molecule 1(500.0mg,0.42mmol,1equiv)in84.3mLCHCl3waschargedintoa500mLflask.Thena0.005mol/Lsolutionof(3S)-TRPN (158.7mg,0.84mmol,2.0equiv)in168.6mLCHCl3wasaddeddropwise,followed byadditionofSc(OTf)3(124.4mg,0.25mmol,0.6equiv).",comprehensive synthesis
"Thereactionmixturewasstirredat25～Cfor24h.Then,theproductwasreduced byNaBH(OAc) 3(1.34g,6.32mmol,15.0equiv)overnight, theexcessreductant NaBH(OAc)3wasfilteredoffundervacuum,andthesolutionwasquenched withNaOHsolution(2.0M,300mL),extracted withCHCl3(3℅150mL),driedoveranhydrousNa2SO4,andconcentrated togivethecrudeproduct.Purification byflashcolumnchromatography (DCM/MeOH/NH 3(aq)=150:2:3,v/v/v)affordedthediphane(3S,3S)-3 (68mg,11%)asawhitesolid.1HNMR(400MHz,CD2Cl2,298K),汛=7.05?7.57 (m,52H),4.07(d,J=12.0Hz,2H),3.74(d,J=12.0Hz,2H),3.62(dd,J=12.0Hz,12.0Hz,4H),3.51(d,J=12.0Hz,2H),3.37(d,J=12.0Hz,2H),2.71?2.80 (m,2H),2.61?2.71 (m,2H),2.42?2.52 (m,2H),2.07?2.14(m,6H),1.88?1.95 (m,4H),1.76(d,J=12.0Hz,2H),1.13?1.19(m,18H).13CNMR(101MHz,CD2Cl2,298K),汛=145.97,145.82,145.41,144.53,142.47,142.20,141.27,139.64,139.49,139.03,138.96,138.26,131.36,130.84,130.10,130.00, 129.79,129.07,128.44,128.36,127.89,127.81,127.68,127.62,127.41,64.13,63.68,62.40,61.58,52.63,52.20,51.80,50.26,49.09,20.85,20.44,19.69.HR-MS(MALDI): C104H107N8+[M+H]+,calcd:1468.865; Found:1468.749.",comprehensive synthesis
"(3R,3S)-3. A0.005mol/Lsolutionofintermediate compound 4(57.5mg,0.043mmol,1equiv)in8.7mLCHCl3waschargedintoa25mLflask.Thena0.005mol/Lsolutionof(3R)-TRPN (8.2mg,0.043mmol,1.0equiv)in8.7mLCHCl3wasaddeddropwise,followed byadditionofSc(OTf)3(6.4mg,0.013mmol,0.3equiv).",comprehensive synthesis
