content,category
"10However, this [2]catenane is unsuitablefor use as a receptor, because it con tains two mutually interlockedcages whose cavities are already occupied by each other. In an effortto address this deficiency, we have used a hydrazone-based DCCapproach to produce a triangular prism-shaped cage by condensingcarbonyl dihydrazine11Hand a trialdehyde precursor10A3+in water(Fig. 1). This cage acts as a molecular flask to accommodate suitablypaired donor每acceptor substrates, such as guests containing eitherdihydroxynaphthalene or naphthalene diimide. The intermoleculardonor每acceptor interactions between these two guests are remark-ably enhanced within the cage cavity. It was found that cageformation is highly favored at elevated temperatures due to entropiceffects, while at lower temperatures substantial amounts of polymersor oligomers are also generated as byproducts. The kinetics ofhydrazone formation and disassembly were also found to betemperature dependent. Coolin g the system to room temperatureswitches ＆＆off＊＊ the hydrazone bond exchange, and locks the cagearchitecture. Thus, cage products obtained at higher temperaturecould be effectively ＆＆caught＊＊ at l ower temperatures and maintainedfor several days at room temperature without appreciable decom-position. Even though refrigeration of the solution of the cage at 0 1CaDepartment of Chemistry, Zhejiang University, Hangzhou 310027, P. R. China.",affiliation
"E-mail: lihao2015@zju.edu.cnbDepartment of Chemistry, Hubei Key Lab on Organic and Polymeric,Optoelectronic Materials, Wuhan University, Wuhan 430072, P. R. China.",affiliation
"E-mail: clyang@whu.edu.cncDepartment of Chemistry, University of South Florida, Tampa, Florida 33620, USA?Electronic supplementary information (ESI) available. CCDC 1818991. For ESIand crystallographic data in CIF or other electronic format see DOI: 10.1039/c8cc01085d?These authors contributed equally to this work.Received 7th February 2018,Accepted 1st March 2018DOI: 10.1039/c8cc01085drsc.li/chemcommChemCommCOMMUNICATIONPublished on 02 March 2018. Downloaded by Fudan University on 05/04/2018 14:40:55.",affiliation
"[a] Department  of Chemistry, Zhejiang  University, Hangzhou 310027 (P.R.  China). E-mail:  lihao2015@zju.edu.cn.",affiliation
"[b] Department  of Chemistry, Hubei Key Lab on Organic and Polymeric Optoelectronic Materials, Wuhan University, Wuhan  430072  (P.R. China). E-mail: clyang@whu.edu.cn.",affiliation
"[c] Department  of Chemistry, University of South  Florida, Tampa, Florida 33620, USA[?]   These  authors contributed equally to this work.",affiliation
"Two precursors, namely the aldehyde derivative A3+/C13Cl/C0andcarbonyl dihydrazine H, were both synthesized from commerciallyavailable compounds viaone-step procedures (see the ESI ?). Bothof these precursors are soluble in aqueous medium, presumablyd u et ot h ep r e s e n c eo ft h ep y r i d inium and amino functionalgroups, respectively. Mixing A3+/C13Cl/C0(3.1 mg, 4.0 mmol) and H(0.54 mg, 6.0 mmol) in D 2O (1 mL) in the presence of a catalyticamount of deuterated TFA (0.4 mmol) led at early times to a libraryof intractable oligomeric or polym eric products, as inferred from1H NMR spectral analyses (see Fig. S3 in the ESI ?). However, afterheating the solution at 80 1Cf o r1 2h ,an e ws e to fs h a r presonances was observed in the1H NMR spectrum consistent withthe formation of the cage C6+as the dominant product (thecounteranion could be either CF 3CO2/C0or Cl/C0)i nn e a r l yq u a n t i t a -tive yield (Fig. 3d). The formation of C6+is also supported by theDOSY NMR spectrum (Fig. S4, ESI ?) and mass spectrometricanalysis (Fig. S5, ESI ?). For instance, prominent peaks corres-ponding to [M + nCl](6/C0n)+(n= 1每3) were clearly observed in themass spectrum, which confirms that the condensation of A3+andHoccurred in a [2+3] manner.",comprehensive synthesis
"8. Legault, C. Y. CYLview, version  1.0b; Universit谷 de Sherbrooke,  2009  (http://www.cylview.org ) 3138 |Chem. Commun., 2018, 54, 3138--3141 This journal is ?The Royal Society of Chemistry 2018Cite this: Chem. Commun., 2018,54,3 1 3 8Temperature-dependent self-assemblyof a purely organic cage in water ?Xujun Zheng, ?abYang Zhang, ?aGuangcheng Wu, ?aJi-Ren Liu,aNing Cao,aLei Wang,cYan Wang,aXiaopeng Li,cXin Hong,aChuluo Yang *bandHao Li *aUsing a novel dynamic covalent approach relying on reversible hydra-zone formation, a purely organic 3-dimensional prismatic cage wasdeveloped in water at elevated temperatures. By lowering the tem-perature, the hydrazone bond becomes kinetically inert. This self-assembled cage acts as an e?ective receptor for donor每acceptor pairs,whose interactions are weak in the absence of the cage.",this paper's author
"Manuscr iptreceived :April9,2018Version ofrecord online: June10,2018AngewandteChem ie Zusch riften11402 www .angewandte.de /C232018 DieAutoren. Ver?ffentlicht vonWiley- VCH Verlag GmbH &Co.KGaA, Weinhei m Angew .Chem. 2018 ,130,11398每11402 15213757, 2018, 35, Downloaded from https://onlinelibrary.wiley.com/doi/10.1002/ange.201803244 by Zhejiang University, Wiley Online Library on [02/12/2022]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License1Supporting  InformationTemperature-dependent Self-assembly of a Purely  Organic Cage in WaterXujun Zheng,a,b,? Yang Zhang,a,? Guangcheng,Wu,a,? Ji-Ren  Liu,a Ning Cao,a Lei Wang,c Yan Wang,a Xiaopeng Li,c Xin Hong,a Chuluo Yang,b,* Hao Li a,*",this paper's author
"The e?ort to obtain the single crystal of C6+for X-ray di?ractionanalysis proved unsuccessful. In order to shed more light on thearchitecture of the cage C6+, we synthesized a bis-hydrazone com-pound, namely, S2+/C12PF 6/C0( F i g .2 a ) ,b yc o n d e n s i n g Hwith cationicmethylpyridinium-4-carboxalde hyde in a [1+2] manner (see Fig. S1and S2 in the ESI ?). This bishydrazone derivative S2+could beconsidered as an analog of three bishydrazone fragmental ＆＆walls＊＊ ofthe cage C6+. The single crystal of S2+/C12PF 6/C0w a so b t a i n e db ys l o wdi?usion of isopropyl ether into a solution of S2+/C12PF 6/C0in acetoni-trile. The solid-state structure of S2+demonstrates (Fig. 2a) thatwithin the carbonyl dihydrazone residue, one of the two hydrazonenitrogen atoms undergoes intramolecular hydrogen bonding withthe amide proton that is connected to another hydrazone, whichresults in a bent conformation of S2+. Also thanks to the intra-molecular hydrogen bonding, the moiety of S2+in the solid state hasa close to flat conformation. In the cage framework of C6+,t h i spreorganized conformation might help to suppress the formation ofoligomeric or polymeric byproducts in self-assembly. The distancebetween the two hydrazone nitrogen atoms in S2+is approximately4 . 0?( F i g .2 a ) .T h i sd i s t a n c ei ss ignificantly shorter than thatbetween each two of the three aldehyde functional groups in A3+,i.e., simulation by using PM6 demonstrates that the minimaldistance between the two formyl groups in A3+is estimated to bearound 9 ? (see Fig. S22, ESI ?). The implication is that the formationof an alternative [2+3] condensation product of C6+,n a m e l y P6+(see Fig. 2b), is energy demanding or might be even impossible.",topology
"A number of factors could contribute to the high yield of cageformation. First, the dynamic nature of the hydrazone bond in C6+at elevated temperatures allows the system to undergo errorchecking, allowing the components to ＆＆search＊＊ for the thermo-dynamic minimum. Compared to the polymeric and oligomericbyproducts, the self-assembled cage C6+contains a minimal [2+3]number of components and therefore, necessarily represents themost entropically favored product.12The entropic driving force forcage formation, compared to its byproducts, is enhanced at highertemperatures, given the fact that DG=DH/C0TDS. This, we believe,accounts for the high yield synthesis of the cage product seen atelevated temperatures. Given that the generation of the cage C6+Fig. 1 Structural formulas of precursors A3+,H,a n dt h ec a g e C6+. Charges are balanced by chloride or trifluoro acetate counteranions, which are omitted herefor the sake of clarity. At elevated temperatures, thermodynamic equilibria are established between the cage product and its precursors, as well as t hecorresponding byproducts. At lower temperature when the hydrazone linkages are locked, the equilibria are prohibited and the cage structure is lock ed.",topology
"Fig. 2 Structural formulae of (a) a cationic bishydrazone derivative S2+and (b) a putative [2+3] condensation product P6+, which might be apotential byproduct during the production of C6+. Side view of the corestructure of S2+was also introduced in (a), which was obtained from asingle crystal X-ray di?raction analysis of S2+/C12PF 6/C0. Carbon, grey; oxygen,red; nitrogen, blue. The disordered solvent molecules, hydrogen atoms,and PF6/C0counteranions are omitted for the sake of clarity.Communication ChemCommPublished on 02 March 2018. Downloaded by Fudan University on 05/04/2018 14:40:55.",topology
