content,category
"51We envisaged us-ing this approach as a crystal design strategy to form a series of functional organic1College of Chemistry and Material Science, andGuangdong Provincial Key Laboratory ofFunctional Supramolecular CoordinationMaterials and Applications, Jinan University,Guangzhou 510632, China2Department of Chemistry and MaterialsInnovation Factory, University of Liverpool, 51Oxford Street, Liverpool L7 3NY, UK3School of Chemistry and Chemical Engineering,Institution for Energy Research, JiangsuUniversity, Zhenjiang 212013, China4Central Laser Facility, Research Complex atHarwell, Rutherford Appleton Laboratory,Harwell OX11 0QX, UK5Department of Chemistry, Imperial CollegeLondon, Molecular Sciences Research Hub,White City Campus, Wood Lane, London W120BZ, UK6Lead contact*Correspondence:guohongning@jnu.edu.cn (G.-H.N.),malittle@liverpool.ac.uk (M.A.L.),aicooper@liverpool.ac.uk (A.I.C.)https://doi.org/10.1016/j.chempr.2021.09.016ll3158 Chem 7, 3157每3170, November 11, 2021Articlecage co-crystals, by considering how a wide range of guests (e.g., with different vol-umes, sizes, and shapes) could be inserted into the ＆＆virtual pores＊＊ in a porous host.",affiliation
"1?2  1?3 1?6 Crystallisation Solvent  1,4-dioxane /n-pentane  1,4-dioxane/ n-pentane  1,4-dioxane/ n-pentane  Space Group  I2/a I2/a I2/a Wavelength [?]  0.6889  0.6889  0.6889  Collection Temperature  100 K  100 K  100 K  Formula  C60H36N6, 2.84(C2H4O) C60H36N6, 0.5(C14H10N2O2), 0.5(C4H8O2), 0.25(H 2O) C60H36N6, 0.5(C10H9BF2N2S), 0.5(C4H8O2) Mr 965.94  1008.62  1004.03  Crystal Size (mm)  0.069 x 0.017 x 0.009  0.43 x 0.34 x 0.14  0.048 x 0.032 x 0.030  Crystal System  Monoclinic  Monoclinic  Monoclinic  a [?] 25.699(5)  25.527(5)  25.647(5)  b [?] 15.000(3)  15.033(3)  14.930(3)  c [?] 27.333(6)  27.091(5)  27.225(5)  汕 [～] 90.24(3)  90.24(3)  91.35(3)  V [?3] 10536(4)  10396(4)  10422(4)  Z 8 8 8 Dcalcd [g cm-3] 1.218 1.289  1.280  米 [mm-1] 0.070 0.074  0.091  F(000)  4049  4212  4184  2牟 range [～]  3.07 每 51.70 3.00 每 51.82  3.02 每 51.70  Reflections collected  70055 70913  69143 Independent reflections, Rint 11077, 0.046 5 10986, 0.0537  10966, 0.0355  Obs. Data [ I > 2考] 5188 5957  7926 Data /  restraints /  parameters  11077 / 819 / 777 10986 / 157 / 829  10966 / 293 / 876 Final R1 values ( I > 2考(I)) 0.0861 0.0638 0.0722 Final R1 values (all data)  0.1431 0.1153 0.0887 Final wR( F2) values (all data)  0.3227  0.2243 0.2425 Goodness -of-fit on F2 1.056  1.031 1.120 Largest difference peak and hole [ e.A-3] 0.370 / -0.233 0.382 / -0.274 0.951  / -0.584 CCDC  2000286  2000284  2000287           S37 Table S8. Single crystal X -ray refinement details for  1?7, 1?8, and 1?11.",CCDC
"1?7[a] 1?8[a] 1?11 Crystallisation Solvent  1,4-dioxane/ n-pentane  1,4-dioxane/ n-pentane  1,4-dioxane/ n-pentane  Space Group  I2/a I2/a I2/a Wavelength [?]  0.6889  0.6889  0.6889  Collection Temperature  100 K  100 K  100 K  Formula  C60H36N6, 0.4(C13H16BF2N2), 0.5(C4H8O2) C60H36N6, 0.425(C12H10N2O2S), 0.5(C4H8O2), 0.5(H 2O) C60H36N6, 0.5(C18H12 ), 0.5(C4H8O2) Mr 973.0 1 1017.67  999.14  Crystal Size (mm)  0.364 x 0.117 x 0.015  0.056 x 0.032 x 0.020  0.05 x 0.022 x 0.015  Crystal System  Monoclinic  Monoclinic  Monoclinic  a [?] 25.437(5)  25.532(5)  25.893(5)  b [?] 15.002(3)  15.040(3)  15.029(3)  c [?] 27.140(5)  27.119(5)  27.107(5)  汕 [～] 90.97(3)  90.50(3)  90.91(3)  V [?3] 10355(4)  10413(4)  10547(4)  Z 8 8 8 Dcalcd [g cm-3] 1.248 1.274 1.258  米 [mm-1] 0.074 0.094 0.070  F(000)  4061 4171 4176  2牟 range [～]  4.24 每 51.70  2.91 每 54.67  3.00 每 51.70  Reflections collected  67329  39850  71843  Independent reflections, Rint 10890 , 0.0509 12010 , 0.0295 11154 , 0.0415  Obs. Data [ I > 2考] 8103  7295  7150  Data /  restraints /  parameters  10890  / 316 / 911 12010  / 536 / 838 11154  / 171 / 791  Final R1 values ( I > 2考(I)) 0.0677 0.1065  0.0668 Final R1 values (all data)  0.0807  0.1323  0.0974 Final wR( F2) values (all data)  0.2332 0.3770  0.2400 Goodness -of-fit on F2 1.128 1.414 1.138 Largest  difference peak and hole [ e.A-3] 0.616 / -0.185 1.013  / -0.659 0.531 / -0.487 CCDC  2000289  2000288  2000293  [a] guest occupancy was based on the host 每guest ratio determined by NMR for a bulk grown sample (see Table S4 for further details).",CCDC
"1?4 1?5 1?9 Crystallisation Solvent  1,4-dioxane/ n-pentane  1,4-dioxane/ n-pentane  1,4-dioxane/ n-pentane  Space Group  Cc P1 P1? Wavelength [?]  0.6889  0.6889  0.6889  Collection Temperature  100 K  100 K  100 K  Formula  2(C 60H36N6), 3(C 16 H10), C5H12. 8(C 60H36N6), 12(C 14H10), 4(C 5H12) 2(C 60H36N6), C 5H12, 3(C 20H12) Mr 2360.76  9154.78  2510.92  Crystal Size (mm)  0.028 x 0.016 x 0.005  0.075 x 0.056 x 0.031  0.278 x 0.104 x 0.07  Crystal System  Monoclinic  Triclinic  Triclinic  a [?] 33.0308(5)  18.8451(2)  19.1683(11)  b [?] 19.0673(3)  18.9081(2)  19.2474(16)  c [?] 19.7042(4)  40.1483(6)  20.6928(13)  汐 [～]  82.0930(10)  85.594(2)  汕 [～] 98.325(2)  85.3430(10)  75.934(2)  污 [～]  60.3230(10)  60.1940(10)  V [?3] 12279.1(4)  12309.8(3)  6417.1(8)  Z 4 1 2 Dcalcd [g cm-3] 1.277  1.235  1.299  米 [mm-1] 0.074  0.067  0.076  F(000)  4944  4800  2628  2牟 range [～]  2.40 每 51.70  2.41 每 51.70  3.50 每 52.74  Reflections collected  84448  167246  74945  Independent reflections, Rint 25873, 0.0782  95870, 0.0353  25774, 0.0441  Obs. Data [ I > 2考] 14782  75300  16037  Data /  restraints /  parameters  25873 / 52 / 1692  95870 / 172 / 6324  25774 / 55 / 1799  Final R1 values ( I > 2考(I)) 0.0550  0.0616  0.0692  Final R1 values (all data)  0.1228  0.0746  0.1137  Final wR( F2) values (all data)  0.1422  0.1824  0.2013  Goodness -of-fit on F2 0.953  1.062  1.024  Largest difference peak and hole [ e.A-3] 0.204 / -0.253  0.835 /  -0.344  0.543 / -0.521  CCDC  2000291  2000294  2000292          S39 Table S10. Single crystal X -ray refinement details for  1?10 and 1?12.",CCDC
"1?10 1?12 Crystallisation Solvent  1,4-dioxane/ n-pentane  1,4-dioxane/ n-pentane  Space Group  P1? I2/a Wavelength [?]  0.6889  0.6889  Collection Temperature  100 K  100 K  Formula  C60H36N6, 3(0.5(C10H6O2)) 2(C 60H36N6), 2(0.5(C18H12)), 0.36(C4H8O2), 0.22(C 4H8O2), Mr 1078.17 1119.46  Crystal Size (mm)  0.053 x 0.050 x 0.032  0.26 x 0.24 x 0.18  Crystal System  Triclinic  Monoclinic  a [?] 9.88896(3)  18.664(4)  b [?] 16.59216(5)  40.256(8)  c [?] 18.85684(6)  18.892(4)  汐 [～] 111.0588(3)   汕 [～] 93.7270(3)  119.42(3)  污 [～] 105.5394(3)   V [?3] 2736.713(16)  12363(5)  Z 1 4 Dcalcd [g cm-3] 1.308 1.291  米 [mm-1] 0.076  0.067 F(000)  1122 4683 2牟 range [～]  2.28 每 54.68  3.80 每 51.70  Reflections collected  41283 84066 Independent reflections, Rint 13422, 0.0299  13079, 0.051 7 Obs. Data [ I > 2考] 1142 1 5934 Data /  restraints /  parameters  13422 / 133 / 784  13079 / 133 / 814 Final R1 values ( I > 2考(I)) 0.0491 0.0776 Final R1 values (all data)  0.0559 0.1453  Final wR (F2) values (all data)  0.1414 0.2431  Goodness -of-fit on F2 1.093 1.050 Largest difference peak and hole [ e.A-3] 0.641 / -0.536 0.692 / -0.336 CCDC  2000290  2000485         S40 Table S11. Single crystal X -ray refinement details for  1?3?10 and 1?6?10.",CCDC
"1?3?10 1?6?10 Crystallisation Solvent  1,4-dioxane/ n-pentane  1,4-dioxane/ n-pentane  Space Group  I2/a I2/a Wavelength [?]  0.6889  0.6889  Collection Temperature  100 K  100 K  Formula  C60H36N6, 0.5(C10H6O2), 0.5(C14H10N2O2) C60H36N6, 0.42(C10H9BF2N2S), 0.33(C10H6O) Mr 1039.14  992.40  Crystal Size (mm)  0.062 x 0.035 x 0.006  0.062 x 0.038 x 0.022  Crystal System  Monoclinic  Monoclinic  a [?] 26.069(5)  25.772(5)  b [?] 15.030(3)  15.002(3)  c [?] 27.012(5)  27.062(5)  汕 [～] 91.19(3)  90.10(3)  V [?3] 10581(4)  10463(4)  Z 8 8 Dcalcd [g cm-3] 1.305  1.260 米 [mm-1] 0.075  0.094  F(000)  4328  4127 2牟 range [～]  3.03 每 51.70  4.22 每 51.70  Reflections collected  70558  69932  Independent reflections, Rint 11094, 0.0470  10946, 0.038 2 Obs. Data [ I > 2考] 5425  6006 Data /  restraints /  parameters  11094 / 451 / 826  10946 / 453 / 8 56 Final R1 values ( I > 2考(I)) 0.0868  0.0992 Final R1 values (all data)  0.1403 0.1373 Final wR( F2) values (all data)  0.3063  0.3215  Goodness -of-fit on F2 1.055 0.993  Largest difference peak and hole [ e.A-3] 0.616 / -0.372 0.921 / -0.368 CCDC  2000285  2001207           S41  Figure S26. Comparison of experimental and simulated PXRD  of, a) 1?2, b) 1?6, and c) 1?7 (the black line represent s experimental PXRD data  recorded at room temperature ; the red line represent s simulated PXRD from single X -ray structure  recorded at 100 K ) used for the multi -photon absorption spectroscopy measurements .",CCDC
"uk/data_request/cif :1,2(2000286), 1,3(2000284), 1,4(2000291), 1,5(2000294),1,6(2000287), 1,7(2000289), 1,8(2000288), 1,9(2000292), 1,10(2000290),1,11(2000293), 1,12(2000485), 1,3,10(2000285), and 1,6,10(2001207).",CCDC
"S3 2. Supplemental experimental data  2-1.  Synthesis of 1,8-diaminoanthracene   Scheme S1. Synthesis of 1,8-diaminoanthracene.",comprehensive synthesis
"1,8-diaminoanthracene was prepared as reported in the literature from 1,8 -dinitroquinone using a modifi ed procedure .1,2   Synthesis of 1,8 -diaminoanthraquinone:  1,8-dinitroanthraquinone  (6.2 g, 20 mmol) and Na2S?9H 2O (19.5 g, 75.5 mmol ) in a mixture of ethanol  (100 mL) and water ( 400 mL ) was heated under reflux for 8 h ours. The resultant red suspension was cooled to room temperature and then poured into ice -water. The red precipitate was collected  by filtrations , washed with excess water, and dried to give 4.8  g of the product as a red powder .",comprehensive synthesis
"Yield: 97%. 1H NMR (CDCl 3, 400 MHz, 298 K): 汛 (ppm) 7.62 (dd , 1JHH = 1.1 Hz, 2JHH = 7.4 Hz, 2H), 7.41 (dd, 1JHH = 7.4 Hz, 2JHH = 8.3 Hz, 2H) and 6.94  (dd, 1JHH =1.1 Hz, 2JHH = 8.3 Hz, 2H) and 6.75 (br oad s , -NH 2, 4H).",comprehensive synthesis
