content,category
"By integration of typical regions (around d=9 ppm) atwhich the imine protons resonate, we estimated that thecage compound was formed in approximately 33% of thecollected precipitate, which corresponds to about 14% ofthe whole product library. It is assumed that the higher de-grees of rotational freedom of the two salicylaldehydic unitsconnected by an ethylene bridge causes a higher number ofreasonable possibilities in the virtual combinatorial li-brary,[19]which results in a higher number of mismatched oli-gomeric and polymeric byproducts. From this observation, itis concluded that rigid precursors with directed functionalgroups are beneficial for cage formation. This finding com-plements suggestions for other organic cage compounds,[a] Dipl.-Chem. M. W. Schneider, Dr. M. MastalerzInstitute of Organic Chemistry II & Advanced MaterialsUlm UniversityAlbert-Einstein-Allee 11, 89081 Ulm (Germany)Fax : (+49)731-50-22840E-mail: michael.mastalerz@uni-ulm.de[b] Prof. Dr. I. M. OppelInstitute of Inorganic Chemistry, RWTH AachenLandoltweg 1, 52074 Aachen (Germany)Supporting information for this article (including experimental de-tails) is available on the WWW under http://dx.doi.org/10.1002/chem.201200032.",affiliation
"[27]Allnon-hydrogen atoms were refined by using anisotropic thermal pa-rameters. CCDC-860485 ( 3a) and -860486 ( 3b) contain the supple-mentary crystallographic data for this paper. These data can be ob-tained free of charge from The Cambridge Crystallographic DataCentre via www.ccdc.cam.ac.uk/data_request/cif. Crystal data for 3a:T=100(2) K; C82H52N6O6;M=1217.30 gmol/C01; triclinic; space groupP1‘;a=21.990(1), b=22.320(1), c=23.800(1) /C138; a=94.648(3), b=116.848(3), g=110.901(3) 8;V=9316.6(9) /C1383;Z=4; 1calcd=0.868 gcm/C03;m=0.441 mm/C01; 2.178<V<66.008; reflections collect-ed/unique 167668/31894, [ R ACHTUNGTRENNUNG(int)=0.0736]; data ACHTUNGTRENNUNG(observed)/restraints/parameters 24027/0/1779; GOF 1.083; final R ACHTUNGTRENNUNG[xI>2s(I)]R1=0.0644,wR2(all data) =0.1802, residual density 0.358 and /C00.273 eA/C03.",CCDC
"4,4'-Dihydroxy -3,3'-diformylbiphenyl  (2a) : 4,4'-Dihydroxybiphenyl ( 3 g, 16 mmol) and hexamethylenetetra amine ( 5.06 g, 36 mmol) were dissolved under argon in anhydrous trifluoroacetic acid (35 mL) and stirred for 3 h at 11 0 ～C.  After cooling to room tempe rature , the solution was poured into 4 N hydrochloric  acid (350 mL)  and stirred overnight. The yellow solid was collected by filtration , washed with water  (2 x 100 mL) and dried in vacuum . Purification by column chromatography  (silica gel , dichloromethane)  gave after drying in vacuum : 1st fraction ( Rf = 0.28): 1.23 g (31%) of dialdehyde 2a as a yellow solid ; m.p. 231 oC; 1H NMR (400 MHz, [D 6]DMSO ): d = 10.80  (s, 2 H, -OH), 10.31 (s, 2 H, -CHO), 7.89 (d, J = 2.5 Hz, Aryl -2,2'-H, 2H), 7.82 (dd, J = 8.6, 2.5 Hz,  2H, Aryl -5,5'-H), 7.09 ppm (d, J = 8.6 Hz,  2H, Aryl -6,6'-H). IR (KBr): ? = 3435 (m), 2925 (w), 2866 (w ), 1663 (s), 1590 (w), 1474 (s ), 1374 (w ), 1281  (s), 1235 (m), 1187 (m), 884 (m), 834 (m), 771 (w ), 737 (m ), 693 (w ), 567 (w ), 463 cm-1 (w). The analytic al data are in accordance to those published before.[S3]  Cage compound 3a : Triptycene triamine 1 (76.5 mg, 0.26 mmol) and 4,4'-Dihydroxy -3,3'-diformylbiphenyl 2 (92.9 mg, 0.38 mmol) were dissolved in dry THF (40 mL) under argon and TFA ( 6.4 米L, 2 mol%) wa s added. The yellow solution was refluxed for 2 d at 97 oC.",comprehensive synthesis
"After cooling the reaction mixture to room temperature , the solid was collected by filtration , washed with diethylether  (2 x 5 mL) to give after drying in vacuum 56 mg (36 %) of cage compound 3a as an orange solid. A second fraction was obtained by adding n -pentane (40 mL) to the filtrate. The precipitate was collected and  washed with n-pentane (5 mL) to give after drying in vacuum 52 mg (33 %) of cage compound 3a as an orange solid.  Crystalline mate rial was obtained by vapour diffusion of diethyl ether into a THF solution of 3a; m.p. > 410 oC; 1H NMR ( [D8] THF , 400 MHz) : d = 12.69  (s, 6 H,-OH), 9.16 (s, 6 H, -CHN), 7.82 (d, J = 2.0 Hz , 6H), 7.75 (d, J = 2.3 Hz , 6H), 7.66 (dd, J = 8.5, 2.4 Hz , 6H), 7.57 (d, J = 7.8 Hz , 6H), 7.21 (dd, J = 7.8, 2.0 Hz , 6H), 7.01 (d, J = 8.5 Hz , 6H), 5.75 (s, 2 H), 5.72 ppm (s, 2H); 13C NMR ( [D8] THF , 125 MHz) : d = 161.6, 161.5, 147.4, 146.0, 145.5, 132.5, 131.6, 131.5, 125.8, 125.4, 120.9, 118.4, 112.4, 57.0, 53.9  ppm. IR (KBr): ? = 3436 (m), 3027 (w), 2958 (w), 1626 (s), 1608  (s), 1586  (s), 1484 (s ), 1427 (m), 1392 (m), 1365  (m), 1274  (s), 1 169 (s), 1126 (m ), 1088  (w), 957 (m ), 878 (m), 860 (s), 823 (s ), 794 (s ), 658 (m ), 596 (m ), 557 (m ), 472 (m ), 412 cm-1 (w); MS ( MALDI -TOF , dithranol ): m/z = 1215 .6; elemental a nalysis calcd.",comprehensive synthesis
"1,2-Bis(3 -formyl -4-anisyl)ethane : 1,2-Bis(4 -anisyl)ethane ( 1.5 g, 6.2  mmol) and hexamethyl entetramine ( 3.47 g, 24.8 mmo l) were dissolved under argon in anhydrous trifluoroacetic acid (25 mL) and stirred for 24 h at 110 ～C . After cooling to room temperature , the solution was poured into a mi xture of 4 N hydrochloric  acid (100 mL) and dichloromethane (100 mL) and stirred ove rnight. The layers were separated and the aqueous layer was extracted with dichloromethane (2 x 75 mL). The combined organic layer was washed with 4 N hydrochloric acid (2 x 100 mL), water (100 mL) and brine (1 00 mL) and dried over sodium sulphate. The sol vent was removed by rotary evaporation to give a n off-white residue . Purification by column chromatography  (silica gel, dichloromethane) gave after drying in vacuo: 1st fraction ( Rf = 0.09 ): 1.01  g ( 54%) of 1,2-Bis(3-formyl -4-anisyl)ethane as colorless  solid; m. p.  155 ～C ; 1H NMR (400 MHz, CDCl 3): d = 10.44  (s, 2 H, -CHO), 7.62 (d, J = 2.3 Hz,  2H, Aryl -2,2'-H), 7.30 (dd,  J = 8.5, 2.3 Hz, 2H, Aryl-5,5'-H), 6.89 (d, J = 8.5 Hz,  2H, Aryl-6,6'-H), 3.90 (s, 6 H, -OCH3), 2.86 ppm (s, 2H , Aryl -CH2); IR (KBr): ? = 34 47 (m), 2937 (w), 2918 (w), 2877 (m), 2854 (w ), 1676 (s), 1610 (s), 1583 (w ), 1495 (s), 1463 (w), 1443 (w), 1424 (w), 1401 (w), 1287 (m ), 1267 (s), 1255 (m), 1216 (w), 1189 (w), 1159 (m), 1109 (m), 1027 (m), 954 (w), 900 (w), 822 (m), 714 (w), 647 (m), 583  (w), 454  cm-1 (w). The analytical data are in accordance to those published before.[S4]  1,2-Bis(3-formyl -4-phenyl)ethane  (2b) : 1,2-Bis(3-formyl -4-anisyl)ethane (1.79 g, 6.00 mmol) was dissolved in abs. dichloromethane (30 mL) under argon and cooled to -60 oC (acetone/ dry ice ). BBr 3 (1.25 mL, 13.2 mmol) was added and the mixture was stirred for 30 min at -60 oC. The reaction mixture was allowed  to warm  up to room temperature  (3 h). A saturated sodium hydrogen carbonate solution (20 mL) was added , followe d by ethyl acetate  (30 mL ). The layers were separated and the aqueous layer was extracted  with ethyl acetate ( 3 x 40 mL) . The combined organic layer was washed with a saturated sodium hydrogen carbonate solution (50 mL)  and brine (50 mL) , and dried over so dium sulphate.  The solvent was removed by rotary evaporation to give a white  solid . Purification by column chromatography ( silica gel, dichloromethane ) gave after drying in vacuo:  1st fraction ( Rf = 0.38): 1.39  g (8 5%) of dialdehyde 2b as a colorless  solid ; m.p. 182-183 oC; 1H NMR (400 MHz, CDCl 3): d = 10.86  (s, 2H), 9.82 (s, 2 H), 7.39 每7.17 (m , 4H), 6.90 (d, J = 8.2 Hz , 2H), 2.88 ppm (s, 4H); 13C NMR (100  MHz, CDCl 3): d = 196.5, 160.2, 137.5, 133.2, 132.6, 120.6, 117.8, 36.7  ppm;  IR (KBr): ? = 3420 (w), 3162 (w), 3067 (w), 2947 (w), 2925 (w), 2864 (m ), 2749 (w), 1958 (w), 1706 (w), 1646 (s), 1584 (s), 1479 (s), 1455 (m), 1410 (w), 1379 (m), 1320 (m), 1279 (s), 1261 (s), 1242 (s), 1202 (s), 1149 (s), 1124 (m), 1008 (w), 980 (w), 937 (m), 903 (w ), 855 (s), 795 (m), 769 (s), 742 (s), 730 (s), 672 (m), 58 5 (m), 481 (w), 456 (m), 433 cm-1 (w); MS (CI -MS): m/z (%) = 299 (16 ) [M+C 2H6]+, 272 (17), 271  (100) [M+H]+, 270 (7) [M]+, 135 (11). Elemental a nalysis  calcd.  (%)  for C 16H14O4: C 71.10 , H 5.22; found: C 71.25 , H 5. 34.",comprehensive synthesis
"Cage compound 3b : Triptycene triamine  1 (129.0 mg, 0.43 mmol) and 1,2-bis(3 -formyl -4-phenyl)ethane  2b (175.3 mg, 0.65 mmol) were dissolved und er argon in dry THF  (72 mL) .",comprehensive synthesis
"TFA (29.5 米L, 2 mol%)  was added and  the mixture was reflux ed (97 oC) for 3 d in an apparatus where a dropping funnel fille d with molecular sieve 4 ? was connected between condenser and reaction flask . After cooling the mixture to room temperature , the mixture was filtered  through  a 25 mm syring e filter (0.45 米m PTFE) and n -pentane (100 mL) was added.",comprehensive synthesis
"The y ellow precipitate was  collected and re-dissolved in 16 mL DMF . Crystals were grown by vapour diffusion of methanol into the DMF solution. After two weeks , the crystalline material was  separated via pipette technique and washed with methanol. Drying under vacuum gave 30 mg ( 10%) of cage compound  3b as yellow  crystals. ; m.p. >410 oC; 1H NMR (400 MHz, [D8] THF) : d = 12.76 (s, 6H), 8.90 (s, 6 H), 7.66 (d , J = 1.9 Hz , 6H), 7.52 (d, J = 7.8 Hz , 6H), 7.29 (d,  J = 2.2 Hz , 6H), 7.20 (dd, J = 8.3, 2.2 Hz , 6H), 7.09 (dd, J = 7.8, 2.0 Hz , 6H), 6.86 (d, J = 8.3 Hz , 6H), 5.68 (s, 2H), 5.67 (s, 2H), 2.85 ppm (s, 12 H); 13C NMR (125 MHz, [D8] THF) : d = 162.9, 160.8, 147.4, 146.7, 145.2, 134.1, 133.3, 133.2, 125.5, 123.5, 120.4, 117.8, 114.1, 56.2, 53.7, 39. 0 ppm;  IR (KBr): ? = 3437  (w),  2923  (w), 2855 (w), 1622 (s), 1582 (s), 1489 (s), 1471 (s), 1362 (m), 1279 (s), 1213 (w), 1157 (m), 1087 (w), 977 (w), 955 (m), 917 (w), 885 (w), 860 (m), 825 (m), 790  (m), 657 (m), 586 (m), 477 (m)  cm-1. HR-MS ( MALDI , dithranol) : m/z = 1301.4962 (calc. for C88H64N6O6: 1301.4960)  *",comprehensive synthesis
"[1每9]With specific surface areas of upto 2071 m2g/C01,[5]these new materials complement existingsystems of polymeric porous structures, for example, metal每organic frameworks (MOFs),[10]covalent organic frame-works (COFs), and amorphous porous organic polymers.[11]One method to synthesize organic cage compounds inhigh yields is the reversible formation of multiple iminebonds.[12,13]Nevertheless, only some of those cage com-pounds have been reported to be permanently porous.[14]One of the first examples was introduced by the Coopergroup, who synthesized Td-symmetric cage compounds bycondensation of four molecules of 1,3,5-triformylbenzeneand six molecules of various 1,2-diamines (such cage com-pounds are usually termed [4+6] cages).[3]The Brunauer每Emmett每Teller (BET) surface areas of these first systemswere 624 m2g/C01. These materials could selectively adsorbvarious gases, for example, H2,CO2,o rC H4. Very recently,the same group synthesized a porous [4 +6] cage compoundwith a much higher specific BET surface area (1333 m2g/C01)by enlarging the trialdehyde used.[6]We used a complementary approach to synthesize [4 +6]cage compounds.[15]Triptycene triamine 1[16]was reactedwith salicyldialdehydes to give endo -functionalized adaman-toid cage compounds. These cage compounds show perma-nent porosity in the crystalline phases, with highly accessibleBET surface areas of up to 2071 m2g/C01.[4,5]These cage com-pounds could also selectively adsorb CO2(9.4 wt%) overmethane (0.98 wt%).[4]The above-mentioned unique sys-tems tend to have shape-persistent cavities due to the intrin-sic rigidity of the tetrahedral molecular scaffold.",surface area
"Recently, another type of connection was used to generateporous shape-persistent molecules through an imine conden-sation of trisamines and dialdehydes or trisaldehydes and di-amines, respectively, to give [2+3] cage compounds.[7每9]However, the reported BET surface areas (10 m2g/C01and99 m2g/C01) of these [2 +3] cage compounds are significantlylower than for the [4 +6] cage compounds, though a good se-lectivity for the adsorption of CO2over N2was reported.[7,8]The described [2 +3] cage compounds contain flexible link-ing units within the molecules that allow the molecularstructure of the cage compounds to twist so that the trigonalplanar subunits preferentially interact through p每pstackingand almost close the cavities, which leaves insufficient spaceinside the cage compound interior for gas sorption. Thiseffect might be the reason for the low measured BET sur-face areas.",surface area
