content,category
"14﹜3dRate limiting in thisthermodynamic synthesis of 4is cup inversion of ( M)-1(2)t o(P)-1(2). This multi-component assembly, in which thecryptophane is constructed from two CTBs and three linkerunits, held together by six covalent bonds, represents aconceptionally new way to synthesize cryptophanes, whichdi?ers from the traditional direct assembly method and theChart 1 Cryptophanes, triformyltribenzylenes and diamines.Rutgers, The State University of New Jersey,Department of Chemistry and Chemical Biology, 610 Taylor Road,Piscataway, NJ 08817, USA. E-mail: warmuth@rutgers.edu;Fax: +1 732-4455312; Tel: +1 732-4458432wThis article is part of a ChemComm ＆Supramolecular Chemistry＊web-based themed issue marking the International Year of Chemistry2011.",affiliation
"15﹜zElectronic supplementary information (ESI) available: Experimentalprocedures and spectroscopic data for 6,8每11 and cryptophanecomplexes. Yield of 8/C1CH2Cl2as a function of pD. CCDC 809740(6/C1CH 2Cl2). For ESI and crystallographic data in CIF or otherelectronic format see DOI: 10.1039/c1cc10510hChemCommDynamic Article Linkswww.rsc.org/chemcomm COMMUNICATIONPublished on 11 March 2011. Downloaded by Zhejiang University on 11/26/2023 2:01:58 PM.",CCDC
"2﹜   Experimental Procedures:  Cryptophane 6:  A solution of cyclotribenzylene 1 1 (17.5 mg, 40 米mol) was suspended in CDCl 3 (4.4 mL). A few beads of molecular sieves (3?) were added, followed by et hylene -1,2-diamine (5.2 米L, 80 米mol) and TFA (20 米L of 1% solution in CDCl 3). The mixture was stirred at room temperature overnight, after which all of 35 had dissolved. The solution was filtered and the solvent evaporated to yield 6 quantitatively as a ye llowish solid. X -ray quality crystals of 6 were obtained by dissolving about 3 mg of 6 in CH 2Cl2/CH 3OH (2:1) and slow evaporation of the solvent at room temperature.  Spectroscopic data:  1H NMR (CDCl 3; 500 MHz, 25 oC): 汛H 8.41 (s, 6H, C HN), 7.80 (s, 6H, Ar -H), 6.84 (s, 6H, Ar -H), 4.60 (d, 6H, J = 13.4 Hz, ArC HaxH), 4.17 (d, 6H, J = 10.1 Hz, NC HH), 3.79 (d, 6H, J = 10.1 Hz, NC HH), 3.61 (d, 6H, J = 13.4 Hz, ArCHeqH); 13C NMR (CDCl 3; 125 MHz, 25 oC): 汛C 157.56, 157.15, 144.00, 130.51, 128.15, 122.66, 112.06, 63 .60, 55.60, 36.20. MALDI -TOF: m/z 961.4695 ([ 6+H]+, 961.46 (calcd. for [C60H61N6O6]+)) Reference:  1. D. Xu and R. Warmuth, J. Am. Chem. Soc. , 2008, 130, 7520.",comprehensive synthesis
"3﹜  Cyclotribenzylene 3 5: CHOOHC OHCORROOR1: R = CH3CHOOHC OHCORROOR35: R = CH2COOC(CH3)3 A solution of 1 (125 mg, 0.281 mmol) and anhydrous  LiCl (1.35 g, 32 mmol) in anhydrous DMF (15 mL) was refluxed under argon for 20.5 hrs, after which time the NMR spectrum of the crude products (CDCl 3, 25 oC) showed complete ether cleavage. After the reaction mixture had cooled to room temperature, the so lvent was removed under reduced pressure. The residual oil, was Supplementary Material (ESI) for Chemical CommunicationsThis journal is (c) The Royal Society of Chemistry 2011	 ? Page S 2 treated with water (30 mL) and 1N aq. HCl (50 mL). The precipitated crude product was filtered off, washed with water (10 mL) and methanol (10 mL) and dried at high vacuum. It was used for the next step without further purification and dissolved in anhydrous DMF (5 mL) under argon.",comprehensive synthesis
"4﹜Cs2CO 3 (600 mg, 1.84 mmol) and tert. butyl bromoacetate (0.3 mL, 2.03 mmol) was added to the solution. After stirring at room temperature for 24 hrs, the solvent was  removed under reduced pressure. The residue was partitioned between water and CH 2Cl2. The organic layer was washed with brine and dried over MgSO 4. After removing of the solvent, the crude product was chromatographed on silicagel. 35 was eluted with CH 2Cl2/ethyl acetate (9:1) and obtained as a white solid (119.5 mg, 57% yield based on 1). Spectroscopic data: 1H NMR (CDCl 3; 500 MHz, 25 oC): 汛H 10.42 (s, 3H, C HO), 7.80 (s, 3H, Ar -H), 6.87 (s, 3H, Ar -H), 4.69 (d, 3H, J = 13.7 Hz, ArCHaxH), 4.59 (s, 9H, OC H2), 3.71 (d, 3H, J = 13.7 Hz, ArC HeqH), 1.50 (s, 27H, C(C H3)3); 13C NMR (CDCl 3; 100 MHz, 25 oC): 汛C 189.14, 167.19, 159.48, 147.67, 131.46, 129.99, 124.68, 114.45, 83.15, 66.26, 37.04, 28.24. MALDI -TOF: m/z 767.2777 ([ 35+Na]+, 767.3038 (calcd. for [C42H48O12Na]+))  Water-soluble cyclotribenzylene 9 Cyclotribenzylene 35 (50 mg, 62 米mol) was dissolved in the minimum amount of dichloromethane (3 mL), and an excess of pure trifluoroacetic acid (3 mL) was added.  The reaction was stirred overnight with a stopper on  the flask. The solvent was pumped off under vacuum. Dichloromethane (5 mL) was added and evaporated under vacuum to remove residual trifluoroacetic acid. The solid residue was dried overnight under vacuum at 100 oC to yield 9 as a white solid (34.6 mg, 97  %). Spectroscopic data:  1H NMR (300 MHz, DMSO -d6, 25～C) 汛H: 13.06 (3H, sb, COO H), 10.28 (3H, s, C HO), 7.94 (3H, s, Ar-CHO), 7.4 1 (3H, s, Ar-OCH 2), 4.92 -4.78 (9H, m, Hax & OC H2), 3.8 4 (3H, m, Heq). 13C NMR (100 MHz, DMSO -d6, 25～C) 汛c: 188.55 (HC=O), 169.54  (C=O), 158.67 ( Ar-OCH 2), 148.52 ( Ar-CH 2), 131.80 ( Ar-CH 2), 129.93 (Ar), 123.68 ( Ar-CHO), 115.08 (Ar), 65.15  (OCH2), 35.04 ( CH2). MALDI -TOF:  m/z  599.11502 ([9+Na]+, 599.11600 (calcd. for [C 30H24NaO 12]+)). HPLC:  Vydac RP -C18, mobile phase: buffered H 2O ((NH 4)2CO 3)/acetonitrile; gradient: t 0 = 9/1 -> t20min = 6/4 -> t25min= 9/1; flow = 1 mL min-1, 竹 = 280 nm, tR = 10.44 min.",comprehensive synthesis
"5﹜ CH 2Cl2 complex of cryptophane 8 (Procedure A)  The cyclotribenzylene 9 (1.5 mg, 2.6 米mol) was suspended in D 2O (0.5 mL) and dissolved by adding 2N NaOD in D 2O solution (6 米L). Distillated ethylenediamine was introduced (0.313 mg, 5.2x10-3 mmol) following by dichloromethane (3 米L) as template. A solution of sodium acetate in D 2O (4mM; 10 米L) was added as reference. The reaction was comple ted after 2hours.",comprehensive synthesis
"7﹜	 ?2-Norbornylene complex of cryptophane 10 Prepared according to procedure A  from 9 (1.5 mg, 2.6 米mol) and 1,4-butanediamine (0.464 mg, 5.2x10-3 mmol) with 2 -norbornylene as template.  Spectroscopic data: 1H NMR (500 MHz, D2O, 25～C) 汛H: 8.49 (6H, s, C H=N ), 7.84 (6H, s, Ar-CH=N), 6.7 (6H, s, Ar-OCH 2), 4.72 (6H, d, OCH2, J2H-H = 13.6 ), 4.43 (6H, d, Hax, J2Hax-Heq = 15.8 ), 4.17 (6H, d, Heq, J2Heq-Hax = 15.8 ), 3.94 (6H, m, N -CH2), 3.72 (6H, d, OC H2, J2H-H = 13.6),  3.44 (6H, m, N -CH2),  1.68 (6H, m, N -CH 2-CH2), 1.47 (6H, m, N -CH 2-CH2), 2.77 (2 H, s, guest), 0.05 (1H, m, guest), -0.06 (1H, m, guest), -0.88 (1H, m, guest), -1.01 (1H, m, guest), -1.47 (1H, m, guest), -1.67 (1H, m, guest), -1.77 (1H, m, guest), -1.9 (1H, m, guest); MALDI -TOF:  m/z 1309.4407 ([ 10-6Na++7H]+, 1309.4976 (calcd.",comprehensive synthesis
"9﹜ Cryptophane 11 Prepared according to procedure A  from 9 (1.5 mg, 2.6 米mol) and p-xylenediamine (0.710 mg, 5.2x10-3 mmol) with ferrocene as template  and 10 米L of a sodium acetate solution (4mM) as reference. The reaction was completed after 2hours at 353K.  Spectroscopic data: 1H NMR (500 MHz, D 2O, 25～C) 汛H: 8.67 (6H, s, C H=N ), 7.8 9 (6H, s, Ar-CH=N), 7.14 ( 12H, s,  Ar-diamine), 6.73 (6H, s, Ar-OCH 2), 5.06 (6H, d, OC H2, J2H-H = 12.6 ), 4.54 (6H, d, OC H2, J2H-H = 12.6), 4.14  (6H, d, Hax, J2Hax-Heq = 15.7), 4.04  (6H, d, Heq, J2Heq-Hax = 15.7), 3.7 2 (6H, d, N -CH2, J2H-H = 9.7).",comprehensive synthesis
"3﹜View Article Online / Journal Homepage / Table of Contents for this issueThis journal is cThe Royal Society of Chemistry 2011 Chem. Commun., 2011, 47, 4511每4513 4511Cite this: Chem. Commun ., 2011, 47, 4511每4513Templated dynamic cryptophane formation in water wzCe∩cile Givelet, Junling Sun, Di Xu, Thomas J. Emge, Ashwini Dhokte and Ralf Warmuth*",this paper's author
"1﹜View Article Online	 ? Page S 1 Supporting Information  for Templated dynamic cryptophane formation in water C谷cile Givelet, Junling Sun, Di Xu, Thomas J. Emge, Ashwini Dhokte, and Ralf Warmuth*",this paper's author
