content,category
"Registered charity number: 207890As featured in:See Kongzhao Su, Daqiang Yuan et al., Chem. Sci. , 2021, 12, 13307.Showcasing research from Professor Daqiang Yuan＊s laboratory, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences, Fuzhou, China.",affiliation
"View Article Online       1Supporting InformationWater-Stable Hydrazone-Linked Porous Organic CagesMiao Yang,ab Fenglei Qiu,ad El-Sayed M. El-Sayed,abe Wenjing Wang,ac Shunfu Du,ad Kongzhao Su,*ac and Daqiang Yuan*acaState Key Laboratory of Structural Chemistry,  Fujian Institute of Research on the Structure of Matter, Chinese Academy  of Sciences,  Fuzhou, 350002,  ChinabCollege of Chemistry and Materials Science, Fujian  Normal University, Fuzhou, 350007, ChinacUniversity  of the Chinese Academy of Sciences, Beijing, 100049, ChinadCollege of Chemistry,  Fuzhou University, Fuzhou 350116, China.",affiliation
"eChemical Refining Laboratory, Refining Department, Egyptian Petroleum  Research Institute, Nasr City, 11727, EgyptE-mail: skz@fjirsm.ac.cn;  ydq@fjirsm.ac.cnElectronicSupplementaryMaterial(ESI)forChemicalScience.",affiliation
"48Until now, many robust hydrazone-linked COFs viaintegrating di ?erent hydrazine- and aldehyde-containingbuilding blocks have been prepared and demonstrated appli-cations under moist and water conditions, such as waterpollutant removal, proton conduction, energy production/aState Key Laboratory of Structural Chemistry, Fujian Institute of Research on theStructure of Matter, Chinese Academy of Sciences, Fuzhou, 350002, China. E-mail:skz@ 待irsm.ac.cn; ydq@ 待irsm.ac.cnbCollege of Chemistry and Materials Science, Fujian Normal University, Fuzhou,350007, ChinacUniversity of the Chinese Academy of Sciences, Beijing, 100049, ChinadCollege of Chemistry, Fuzhou University, Fuzhou 350116, ChinaeChemical Re 祈ning Laboratory, Re 祈ning Department, Egyptian Petroleum ResearchInstitute, Nasr City, 11727, Egypt?Electronic supplementary information (ESI) available: For ESI andcrystallographic data in CIF or other electronic format. CCDC 2097226 每2097232.",CCDC
6Table S1. Crystallographic  Data  and Structure Refinement for HPOCsHPOC-101 HPOC-102 HPOC-103 HPOC-104formulaC108H128N16O24C112H136N16O24C116H144N16O24C120H152N16O24M / g mol-12034.2689 2090.3753 2146.4818 2202.5882T / K 150 150 150 150Crystal system triclinic triclinic triclinic monoclinicSpace group P-1 P-1 P-1 C2/ca / ? 16.5803(6) 15.5926(8) 17.5094(9) 31.8296(3)b / ? 19.1653(7) 18.0722(8) 17.6077(8) 15.74469(14)c / ? 28.6484(10) 19.3683(7) 19.7045(11) 39.9084(3)汐 (～) 82.336(3) 115.004(4) 95.163(4) 90.0汕 (～) 74.654(3) 94.992(4) 107.511(5) 95.2393(8)污 (～) 83.678(3) 112.026(4) 119.671(5) 90.0V / ?38673.79 4385.12 4819.96 19916.4Z 2 1 1 4米 (mm-1) 0.527 0.598 0.614 0.541Data measured 57657 28900 33627 48058Ind. reflns 32323 16575 17278 19116Parameters 1537 880 1003 917GOF on F21.055 1.264 1.421 0.893R1a [I ?考(I)] 0.0998 0.1067 0.1175 0.0727wR 2b 0.2913 0.3005 0.3635 0.2215CCDC number 2097226 2097227 2097228 2097229aR1 = ﹉||F o| - |Fc||/﹉|F o|. bwR 2 = {﹉[w(F o2 - Fc2)2]/ ﹉[w( Fo2)2]}1/2       7Table S2. Crystallographic  Data and Structure Refinement for HPOCsHPOC-201 HPOC-301 HPOC-401formula C192H204N24O36 C256H272N32O48 C384H408N48O72M / g mol-13423.8207 4565.0942 6847.6413T / K 150 150 100Crystal system monoclinic monoclinic orthorhombicSpace group C2/c C2/c Pnnna / ? 33.0202(10) 56.553(2) 44.0956(9)b / ? 65.6703(15) 15.3485(7) 44.5782(8)c / ? 31.0870(7) 60.220(3) 48.2469(9)汐 (～) 90.0 90 90.0汕 (～) 106.056(3) 115.851(6) 90.0污 (～) 90.0 90 90.0V / ?364780.9 47040.5 94839.1Z 4 4 4米 (mm-1) 0.475 0.368 0.274Data measured 123881 108538 373277Ind. reflns 58156 37637 96079Parameters 2668 1527 1029GOF on F21.255 1.123 1.573R1a [I ?考(I)] 0.1045 0.1279 0.2321wR 2b 0.3288 0.3742 0.5600CCDC number 2097230 2097231 2097232aR1 = ﹉||F o| - |Fc||/﹉|F o|. bwR 2 = {﹉[w(F o2 - Fc2)2]/ ﹉[w( Fo2)2]}1/2       8Section S4. Additional FiguresSection S4a. Additional  Figures of HPOCs:Fig. S1. Optical microscopy images of crystalline  samples for HPOCs.,CCDC
"4Section S2. Synthetic Procedures  and CharacterizationsSynthesis of HPOC-101: C4RACHO (0.025 mmol,  20 mg) and propanedioyl dihydrazide (0.05 mmol, 6.6 mg) were added to DMF (3 mL). The mixture was sealed in a 10 mL glass vial, which was heated at 100 ～C for 12 hours. Block crystals were obtained after evaporation of the solution for several  hours  with yield about 65%. 1 H NMR (400 MHz,  DMSO,  298 K): 汛 11.62 (s, 1H), 8.66 (s, 1H), 7.64 (s, 1H), 4.41(t,  1H), 2.18 (t, 2H), 1.38 (m, 1H), 0.94  (d, 6H). ESI?TOF?MS: [M?2H]2? calcd. for HPOC-101  (C108H128N16O24) is 1015.4571; found 1015.4324.",comprehensive synthesis
"Synthesis of HPOC-102.  Synthesis was similar  to that of HPOC-101 , except butanedioyl  dihydrazide (0.05 mmol, 7.3 mg) was used instead of propanedioyl dihydrazide. Yield 76%. 1 H NMR (400  MHz, DMSO, 298 K): 汛 11.85 (s, 1H), 8.53 (s, 1H), 7.65  (s, 1H), 4.43  (t, 1H), 2.18  (t, 2H), 1.38 (m, 1H), 0.91  (d, 6H).",comprehensive synthesis
"Synthesis of HPOC-103. Synthesis was similar to that of HPOC-101,  except  pentanedioyl dihydrazide (0.05 mmol, 8 mg) was used instead  of propanedioyl dihydrazide.  Yield 74%. ESI?TOF?MS: [M?2H]2? calcd. for HPOC-103  (C116H144N16O24) is 1071.5197;  found 1071.4971.",comprehensive synthesis
"Synthesis of HPOC-104. Synthesis was similar to that of HPOC-101,  except  hexane dioyl  dihydrazide  (0.05 mmol, 8.7 mg) was used instead of propanedioyl  dihydrazide. Yield  72%.1 H NMR (400  MHz, DMSO, 298 K): 汛 11.62 (s, 1H), 8.58 (s, 1H), 7.62  (s, 1H), 4.45  (t, 1H), 2.18  (t, 2H), 1.58 (m, 1H), 0.93  (d, 6H).",comprehensive synthesis
"Synthesis of HPOC-201&301:  Synthesis  was similar  to that of HPOC-101, except m-phthaloyldihydrazide  (0.05 mmol, 10 mg) was used instead of propanedioyl dihydrazide.  Yield 85% with ratio of HPOC-201:HPOC-301 about  1:7.1 H NMR  (400 MHz,  DMSO,  298 K): 汛 12.39 (s, 1H), 8.96 (s, 1H), 8.44 (s, 0.5 H), 8.13 (m, 1 H), 7.71 (m, 1.5 H), 4.55 (t, 1H), 2.18  (t, 2H), 1.38 (m, 1H), 0.99 (d, 6H). ESI?TOF?MS:  [M?2H]2? calcd. for HPOC-201  (C192H204N24O36) is 1709.7362;  found  1709.7305,  [M?3H]3? calcd. for HPOC-301 (C256H272N32O48) is 1519.6536; found 1519.6458.",comprehensive synthesis
